Date,CHINOOK,JACK,ALLCHINOOK,SCHUM,FCHUM,COHO,PINK,CISCO,BROAD,HUMPBACK,SHEEFISH,OTHER,ALLOTHER
6/7/2020,57535,132823,190358,9909,0,0,0,1020521,0,402813,235666,79204,1738204
6/8/2020,592145,14343,606488,12597,0,0,0,836377,25178,11260,63572,35617,972004
6/9/2020,507317,20614,527931,186890,0,0,0,325636,41383,19449,49718,54011,490197
6/10/2020,447164,716053,1163217,822691,0,0,0,428,45261,0,79459,43824,168972
6/11/2020,185207,345988,531195,226028,0,0,0,31326,22844,0,54683,22122,130975
6/12/2020,167738,265981,433719,411551,0,0,0,213009,20121,0,27863,24539,285532
6/13/2020,157614,169555,327169,484703,0,0,0,251802,11033,75936,10308,24881,373960
6/14/2020,429522,160143,589665,175831,0,0,0,330556,15053,0,138878,4245,488732
6/15/2020,42845,118699,161544,1799208,0,0,0,1311952,7478,0,70989,2119,1392538
6/16/2020,403898,104622,508520,96205,0,0,0,2225,43911,0,53857,44924,144917
6/17/2020,705307,140782,846089,183757,0,0,0,70567,0,0,199386,0,269953
6/18/2020,277352,90197,367549,215614,0,0,0,24289,0,0,39753,5264,69306
6/19/2020,106041,255760,361801,2149436,0,0,27743,26455,265242,0,106341,8336,406374
6/20/2020,1622741,26018,1648759,1338283,0,0,0,208522,22362,0,58382,109686,398952
6/21/2020,2725940,331930,3057870,255566,0,0,0,1010645,39031,0,242658,3904,1296238
6/22/2020,6969719,49060,7018779,354291,0,0,0,6669171,96629,0,351403,9366,7126569
6/23/2020,4869807,753217,5623024,32721240,0,0,0,485323,0,44323,114127,25623,669396
6/24/2020,18378428,326911,18705339,90845656,0,0,0,0,0,0,57965,0,57965
6/25/2020,16737963,1605762,18343725,25420969,0,0,74435,2128183,16006,129712,462913,6787,2743601
6/26/2020,5521808,3294787,8816595,21433460,0,0,0,16392714,98373,0,127712,65114,16683913
6/27/2020,7251915,2350525,9602440,83493849,0,0,59396,2287277,0,0,22664,34987,2344928
6/28/2020,12601366,1125426,13726792,23219824,0,0,282047,519710,0,351311,0,14573,885594
6/29/2020,2600939,2629260,5230199,41282330,0,0,1092889,0,14409,117210,0,715876,847495
6/30/2020,2814568,292704,3107272,15392882,0,0,0,953058,12556,97547,347077,250621,1660859
7/1/2020,1976378,860488,2836866,7896316,0,0,1278619,3574812,0,0,141784,17966,3734562
7/2/2020,1103382,293443,1396825,12854046,0,0,1737920,4163461,0,25464,0,0,4188925
7/3/2020,212892,90503,303395,2642318,0,0,95770,2120625,0,50054,6968,55276,2232923
7/4/2020,5578184,6800,5584984,2046177,0,0,2343474,6019216,0,0,0,14647,6033863
7/5/2020,700867,781028,1481895,2806787,0,0,538597,181016,0,760811,35992,50557,1028376
7/6/2020,4666040,145608,4811648,10170542,0,0,772629,1205592,90844,0,14861,0,1311297
7/7/2020,365160,218917,584077,16132963,0,0,1451995,799865,0,1750651,0,0,2550516
7/8/2020,802335,59047,861382,1793330,0,0,118848,150182,35597,0,24976,0,210755
7/9/2020,7686768,126858,7813626,2018825,0,0,391895,572816,0,0,62797,0,635613
7/10/2020,1165873,63660,1229533,7396077,0,0,411290,14357,0,48327,0,0,62684
7/11/2020,88752,61662,150414,17873449,0,0,11491247,528692,124509,850173,0,1747,1505121
7/12/2020,119663,54399,174062,2484690,0,0,5158190,17603,0,4558592,1579,5430,4583204
7/13/2020,0,0,0,1994131,0,0,2440734,0,0,42667,484812,0,527479
7/14/2020,62638,34968,97606,2805883,0,0,2758596,13131,0,211647,11897,80289,316964
7/15/2020,184247,684,184931,8635740,0,0,3368879,78883,4632,1005328,0,55795,1144638
7/16/2020,311518,29161,340679,6592058,0,0,1046672,239351,5130,1752841,5599876,228242,7825440
7/17/2020,141194,0,141194,11646825,0,0,12426409,0,147058,8982830,79181,34538,9243607
7/18/2020,273776,405120,678896,47736602,0,0,100050726,549532,17858,11237448,4041,0,11808879
7/19/2020,101883,68576,170459,0,1392161,0,4824827,7950572,2725,939851,0,18028,8911176
7/20/2020,1367066,0,1367066,0,2119724,0,8823640,894687,5159,4442156,16711,2923,5361636
7/21/2020,150030,0,150030,0,2589090,0,3212034,0,390807,2050461,15046,25356,2481670
7/22/2020,49732,0,49732,0,2827025,0,2314800,1919034,30664,72391,35257,44058,2101404
7/23/2020,119540,0,119540,0,6383371,0,2542376,1390669,4120,333343,7999,0,1736131
7/24/2020,0,0,0,0,14266751,0,11014266,1578326,83355,5548797,150500,1129756,8490734
7/25/2020,0,0,0,0,282610,0,3788736,18779732,88492,8246728,63402,147407,27325761
7/26/2020,210958,0,210958,0,1622781,0,6603138,689823,0,530813,6807,0,1227443
7/27/2020,178,35303,35481,0,60390,0,1262303,1738170,585832,4130987,199693,4894,6659576
7/28/2020,0,0,0,0,4998223,0,1256295,16426517,8076,5198757,118667,137427,21889444
7/29/2020,66827,0,66827,0,345605,0,639333,7079372,172509,8577892,45502,0,15875275
7/30/2020,0,51885,51885,0,19198976,88,3185354,2300312,102811,1555348,3909,45794,4008174
7/31/2020,69650,925,70575,0,1548824,0,828101,215105,90564,20329,10814,6235,343047
8/1/2020,601554,0,601554,0,15492963,57209,4012077,17476237,85261,745325,17951,66854,18391628
8/2/2020,1275,0,1275,0,3017138,264345,793628,875889,210400,689918,0,11866,1788073
8/3/2020,0,0,0,0,605493,61582,293041,1530761,8976,513685,1444,3932,2058798
8/4/2020,43502,0,43502,0,122487,338439,1077689,1570472,33959,1083234,0,24797,2712462
8/5/2020,1153,0,1153,0,122559,71050,215732,478564,161313,1116270,34408,26833,1817388
8/6/2020,0,0,0,0,74499,99204,601688,469920,93700,1262399,0,129745,1955764
8/7/2020,0,0,0,0,2342936,28157,337504,319187,22956,1936869,64876,30262,2374150
8/8/2020,0,2306,2306,0,544929,147627,2470540,3427537,208086,402995,24491,227329,4290438
8/9/2020,0,7055,7055,0,577643,11026,1243612,1618109,69327,886832,22657,3103,2600028
8/10/2020,0,0,0,0,1670282,188944,326836,4838916,6043,1226036,0,49777,6120772
8/11/2020,0,0,0,0,2193415,192314,486403,873293,15785,90200,0,4261,983539
8/12/2020,0,0,0,0,263550,61307,300041,218315,57254,213850,0,1798,491217
