Date,CHINOOK,JACK,SCHUM,FCHUM,COHO,PINK,CISCO,BROAD,HUMPBACK,SHEEFISH,OTHER
6/9/2000,3197175.953,,13271764.82,,,,878666.3206,,,144695.7925,9612.326255
6/10/2000,553.494003,16.29837577,134236.7572,,,,124.6474998,,180433.7067,166121.4295,185060.841
6/11/2000,6700.824405,,23500.43434,,,,,,,23357.06434,
6/12/2000,225263.3411,5744.794163,2510298.057,,,,931.4650613,,2573.797283,159.3502388,-1961660.282
6/13/2000,723.2275967,627.0415846,79339.28867,,,,,,,593.4218925,
6/14/2000,19994.03364,,162893.2326,,,,,,,,
6/15/2000,31975.20346,670.4764393,34895.42946,,,,,,,566.1110159,
6/16/2000,9004.407683,,48480.91315,,,,,,,16219.28443,
6/17/2000,5106.438588,1705.223482,6901.736533,,,,1074.308682,,,7842.189222,
6/18/2000,58915.21927,2055.338978,42141.778,,,,3577.488776,,,7509.455857,
6/19/2000,42871.00863,19266.86708,74972.90832,,,,,,,1302.316938,
6/20/2000,1550834.265,11292.58442,6207965.544,,,,,,,1690.991712,
6/21/2000,679303.9019,125450.8668,25427569.62,,,,41847.11995,,,,41821.19675
6/22/2000,581733.1055,214129.1364,6512160.2,,,,48935.98706,,,,
6/23/2000,2702449.3,8755.124285,11787419.31,,,,,,,17818.08957,37575.53701
6/24/2000,283504.0298,13434.25259,487730.8366,,,20297.2037,,,,14471.19849,27854.74727
6/25/2000,2967369.741,138155.285,3948990.821,,,,,,,,
6/26/2000,1400132.579,9082.803434,1629426.053,,,,13103.60976,,,2501.514317,
6/27/2000,13538426.93,5019787.386,11566771.53,,,,,,,11986325.82,
6/28/2000,1181708.062,67928.07813,10564937.88,,,,,,,403409.0377,
6/29/2000,1208861.428,101988.3102,30333616.88,,,,,,,112259.5329,
6/30/2000,179778.1208,25217.54159,3041167.617,,,70752.27123,139816.4209,,,,
7/1/2000,300298.0438,12313.42692,2553639.025,,,30579.0195,598084.9291,,,1968.381102,
7/2/2000,107460.2841,116922.1304,2703190.725,,,52473.15813,79638.98063,,,19124.94914,
7/3/2000,64017.95894,49122.40555,650847.8345,,,82910.11077,7381.402316,,7429.530342,4518.905984,
7/4/2000,667841.0158,,336052.4347,,,825642.2322,,,,103567.2273,
7/5/2000,27329.57021,22105.61108,596087.2796,,,276885.6028,350671.4931,,,24639.86381,
7/6/2000,55075.22724,,4700468.139,,,221233.6397,151128.7048,,3748262.965,1835.647918,28271.49737
7/7/2000,4097774.129,,6687366.601,,,121524.2927,294334.1639,,7195.143318,15238.4743,
7/8/2000,209681.7685,,7168837.759,,,802815.6111,815256.6753,,88975.73298,,
7/9/2000,250826.3147,,5982225.736,,,329826.3232,304902.9787,68396.27224,,5474.535479,
7/10/2000,149466.5103,1456.563279,4492592.658,,,283720.6719,626289.4096,,4165.632825,11574.89052,1480.955559
7/11/2000,69593.59439,,4920963.885,,,208737.3551,805115.5763,,56204.70167,57187.11009,
7/12/2000,258950.9207,,11180257.86,,,5999315.78,147267.318,21215.37775,5308.711789,46654.17036,
7/13/2000,203046.6245,,21430939.92,,,978169.2517,121752.7946,,24446.16069,,
7/14/2000,42872.22629,,1093579.574,,,1288672.145,227568.2839,,,12922.53455,
7/15/2000,46888.28132,,1219801.095,,,1933407.803,1990911.217,39369.36941,,4973022.037,
7/16/2000,391990.2631,,2580664.17,,,445154.3822,1165834.971,,9263.250716,87933.84034,
7/17/2000,3967.639657,,601505.749,,,755187.9289,1329363.848,,70629.06307,69623.48671,
7/18/2000,,,409651.7426,,,35094.71252,153377.0232,,54813.22221,329.5542612,
7/19/2000,56664.2654,,,2206017.634,,1030338.149,801642.3902,643.1579391,130475.06,9886.565497,3410.949096
7/20/2000,47855.88326,,,1721387.829,,825478.5933,696631.2846,662.6544856,118700.6234,8482.050846,3514.347847
7/21/2000,30896.97729,,,984407.757,,629004.7682,509105.3207,789.4994554,102390.7127,5876.842163,4187.062445
7/22/2000,52492.46553,,,1903178.528,,931023.3529,768443.6871,753.1755142,132075.2484,9332.99846,3994.420628
7/23/2000,48921.67579,,,1789571.023,,914325.5717,726757.5074,766.4655558,127685.6284,8769.595073,4064.903557
7/24/2000,78078.15578,1250.804139,,3816583.98,2358.208589,3290776.161,712707.4693,431.8976068,352999.8704,2402.243134,5523.636703
7/25/2000,67451.24571,1254.322824,,3059327.142,2079.434539,2630119.535,639266.2095,433.1125945,305615.578,2094.456885,5246.301826
7/26/2000,90375.83776,1084.902275,,5362544.226,2641.516318,4693493.39,775750.5306,374.6123645,407218.2273,2740.5627,5402.68656
7/27/2000,139727.6605,1926.582411,,8063814.758,4144.498819,7063252.148,1233165.452,665.2411089,630537.5169,4264.613336,9033.526974
7/28/2000,162053.0771,1888.85239,,9001249.056,4722.791331,7805995.6,1383339.728,652.2130854,729968.8091,4907.874762,9533.323083
