Date,CHINOOK,JACK,SCHUM,FCHUM,COHO,PINK,CISCO,BROAD,HUMPBACK,SHEEFISH,OTHER
5/28/2004,,,123189.1214,,,,67314.49245,,,14215.75365,22806.35737
5/29/2004,33282.83052,,416227.6516,,,,1013.043567,,10585.95504,206655.9149,
5/30/2004,37052.86482,,395411.8364,,,,26563.87225,,12098.23433,8898.242357,3857.615275
5/31/2004,17493.80695,,505175.7586,,,,347691.8247,,,5177.373129,31205.57688
6/1/2004,15964.27093,2692.056376,205953.4246,,,,45983.70909,,2535.724818,57562.84148,1153.620567
6/2/2004,29786.50362,212.3214731,155051.7454,,,,62523.78182,,,76987.13647,
6/3/2004,34634.48408,2244.669394,266477.1214,,,,58141.56192,,1298.007827,69660.22493,
6/4/2004,14232.81231,2832.089769,75532.10236,,,,160288.2613,16398.61044,13947.61445,980487.942,43060.37211
6/5/2004,239755.7122,22304.1357,379322.5532,,,,,,,16546.81259,56573.93587
6/6/2004,48921.33264,6646.883554,164816.5603,,,,,,,45872.45272,10129.34716
6/7/2004,28379.51512,17626.70013,358990.0446,,,,21548.96778,,72177.91925,3868.29554,
6/8/2004,84985.77275,1765.522022,203691.1384,,,,22832.72416,,4228.253297,13399.5928,
6/9/2004,15931.78331,67868.9199,262509.5162,,,,50220.85546,,15574.30949,6685.762366,
6/10/2004,91666.28032,216688.9164,2003766.09,,,,827088.6638,,,53438.73151,
6/11/2004,288633.1551,6596.317723,3290613.49,,,,8909.16482,,,42426.96291,
6/12/2004,329824.0372,99733.66419,3263354.604,,,,,,,16231.15898,685.2391422
6/13/2004,212207.9736,170283.8082,12634543.24,,,,5231053.383,,346091.2881,,
6/14/2004,1685976.779,209154.7736,3579896.421,,,,176880.0317,,59753.14471,18240.79799,391684.1356
6/15/2004,5140359.566,555407.0566,10439637.74,,,,451050.5043,,125181.4803,51161.74818,820569.3628
6/16/2004,4552162.772,5515974.209,146809129.7,,,,420965.7121,18921.39968,,,
6/17/2004,1133200.231,1621012.81,16559721.53,,,,63728.0107,,15283.45788,297723.9504,13790.17799
6/18/2004,949045.009,238374.4217,26551737.61,,,,1410397.863,36904.02743,34751.57953,288626.3492,25429.47161
6/19/2004,572653.3969,879397.3335,3379929.187,,,,59115.31969,,96801.02725,58944.33111,
6/20/2004,476544.4316,605952.4993,2667061.835,,,,67233.82747,,103042.4166,30389.77664,
6/21/2004,837413.5293,333746.4701,5771093.698,,,43409.81176,1568450.97,,,38494.10871,14402.96268
6/22/2004,3494206.376,4365176.787,36538854.87,,,,33986.22003,,,100828.5291,
6/23/2004,10787330.93,351288.9731,45110385.02,,,38973.2598,657939.6049,,194177.0504,,
6/24/2004,7625747.754,401445.4864,10416983.13,,,,471987.2039,,96768.94978,66840.41615,133559.4967
6/25/2004,7939180.72,365625.8902,36152831.36,,,45990.97256,232628.6541,,,83942.02505,
6/26/2004,6115958.941,1450313.007,88912544.24,,,1928373.529,8971012.122,35888.44592,29919.04476,8724.801131,
6/27/2004,6570438.702,1665933.23,83363131.59,,,2303183.699,6838433.411,45285.24617,37752.85534,11009.24704,
6/28/2004,9861710.729,836684.8187,38326768.82,,,107754.4553,103883.2135,,,167118.6147,328703.6475
6/29/2004,1431050.109,545718.7577,18442419.92,,,2186784.518,4473571.711,,,,
6/30/2004,282220.1606,4435606.963,6849556.649,,,283200.8577,79311.42944,,241201.8254,425884.4989,21603.48418
7/1/2004,1858149.016,150210.6515,16175312.49,,,3898333.574,136005.1948,,164805.7499,135882.714,53316.49909
7/2/2004,386563.6969,160647.0884,13486359.02,,,3334837.985,90490.3497,213024.2677,354087.5027,,476073.2355
7/3/2004,691035.2953,1940128.863,14633803.44,,,3318882.033,,,96491.4535,68129.74227,95478.04088
7/4/2004,7374635.887,28626.18193,113489338.3,,,177431568,59840.33382,,27213.40643,13828.0676,120981.6552
7/5/2004,5711853.371,234156.7371,13134708.55,,,5658046.074,83675.1183,150625.1176,289900.1989,909028.4103,40542.83889
