day,zone,species,day_est,day_var
06/09/00,2,CHINOOK,468,3197175.9529
06/09/00,1,CISCO,33,12461.637156
06/09/00,3,CISCO,124,866204.68344
06/09/00,1,OTHER,31,9612.3262553
06/09/00,1,SCHUM,324,2559276.0286
06/09/00,2,SCHUM,816,10712488.79
06/09/00,1,SHEEFISH,76,126535.929
06/09/00,2,SHEEFISH,47,18159.863535
06/10/00,3, ,.,.
06/10/00,2,CHINOOK,63,553.49400303
06/10/00,2,CISCO,36,124.64749977
06/10/00,1,HUMPBACK,35,180433.70669
06/10/00,2,JACK,34,16.298375767
06/10/00,1,OTHER,28,185060.841
06/10/00,1,SCHUM,515,133535.09935
06/10/00,2,SCHUM,345,701.65785992
06/10/00,1,SHEEFISH,61,165728.71159
06/10/00,2,SHEEFISH,55,392.71788889
06/11/00,2,CHINOOK,150,6700.8244052
06/11/00,2,SCHUM,445,23500.434335
06/11/00,3,SHEEFISH,211,23357.06434
06/12/00,2,CHINOOK,633,218608.97999
06/12/00,3,CHINOOK,65,6654.3610814
06/12/00,3,CISCO,43,931.46506128
06/12/00,2,HUMPBACK,58,2573.797283
06/12/00,2,JACK,57,5744.7941632
06/12/00,1,OTHER,50,-1961660.282
06/12/00,1,SCHUM,419,2197181.2636
06/12/00,2,SCHUM,1502,311585.49671
06/12/00,3,SCHUM,54,1531.2963465
06/12/00,3,SHEEFISH,18,159.35023879
06/13/00,2,CHINOOK,214,723.22759672
06/13/00,2,JACK,24,627.04158462
06/13/00,2,SCHUM,2166,60550.401531
06/13/00,3,SCHUM,166,18788.887142
06/13/00,2,SHEEFISH,25,593.42189245
06/14/00,3, ,.,.
06/14/00,2,CHINOOK,237,19994.033643
06/14/00,2,SCHUM,1009,162893.23258
06/15/00,3, ,.,.
06/15/00,1,CHINOOK,50,1638.1153029
06/15/00,2,CHINOOK,239,30337.088155
06/15/00,2,JACK,30,670.47643934
06/15/00,1,SCHUM,314,16646.175068
06/15/00,2,SCHUM,799,18249.254391
06/15/00,2,SHEEFISH,27,566.11101588
06/16/00,2,CHINOOK,152,9004.4076829
06/16/00,1,SCHUM,440,19553.989963
06/16/00,2,SCHUM,461,19942.331
06/16/00,3,SCHUM,131,8984.5921851
06/16/00,1,SHEEFISH,78,16088.546122
06/16/00,2,SHEEFISH,44,130.73830561
06/17/00,3, ,.,.
06/17/00,1,CHINOOK,65,2340.8182763
06/17/00,2,CHINOOK,176,2765.620312
06/17/00,2,CISCO,41,1074.3086821
06/17/00,2,JACK,39,1705.2234823
06/17/00,1,SCHUM,404,1444.5959159
06/17/00,2,SCHUM,412,5457.140617
06/17/00,1,SHEEFISH,125,7379.954819
06/17/00,2,SHEEFISH,20,462.23440278
06/18/00,1,CHINOOK,116,1462.3181062
06/18/00,2,CHINOOK,313,14224.166628
06/18/00,3,CHINOOK,287,43228.734536
06/18/00,2,CISCO,81,3577.4887764
06/18/00,1,JACK,35,713.87138631
06/18/00,2,JACK,28,1341.4675914
