Date,CHINOOK,JACK,SCHUM,FCHUM,COHO,PINK,CISCO,BROAD,HUMPBACK,SHEEFISH,OTHER
6/9/2000,468,,1140,,,,157,,,123,31
6/10/2000,63,34,860,,,,36,,35,116,28
6/11/2000,150,,445,,,,,,,211,
6/12/2000,698,57,1975,,,,43,,58,18,50
6/13/2000,214,24,2332,,,,,,,25,
6/14/2000,237,,1009,,,,,,,,
6/15/2000,289,30,1113,,,,,,,27,
6/16/2000,152,,1032,,,,,,,122,
6/17/2000,241,39,816,,,,41,,,145,
6/18/2000,716,63,843,,,,81,,,124,
6/19/2000,412,182,2229,,,,,,,50,
6/20/2000,3105,387,13977,,,,,,,48,
6/21/2000,4839,888,37984,,,,282,,,,358
6/22/2000,3260,694,25344,,,,302,,,,
6/23/2000,2428,104,19178,,,,,,,88,271
6/24/2000,1693,81,12924,,,145,,,,262,234
6/25/2000,3482,753,12213,,,,,,,,
6/26/2000,2277,286,9711,,,,162,,,68,
6/27/2000,1835,471,7272,,,,,,,399,
6/28/2000,946,405,22105,,,,,,,140,
6/29/2000,2898,280,53831,,,,,,,433,
6/30/2000,2637,133,36899,,,396,644,,,,
7/1/2000,2942,120,24648,,,232,740,,,382,
7/2/2000,1311,659,15951,,,855,775,,,161,
7/3/2000,707,336,11076,,,1477,114,,118,70,
7/4/2000,1613,,7389,,,1006,,,,371,
7/5/2000,645,119,4869,,,1046,207,,,546,
7/6/2000,515,,9846,,,919,798,,317,41,330
7/7/2000,366,,14873,,,1557,1286,,116,300,
7/8/2000,662,,19920,,,3724,2236,,373,,
7/9/2000,1289,,8511,,,1460,741,191,,100,
7/10/2000,1082,36,6252,,,2490,1641,,79,184,41
7/11/2000,327,,11950,,,2367,921,,352,281,
7/12/2000,582,,11603,,,5333,911,122,473,305,
7/13/2000,633,,9975,,,2784,1538,,163,,
7/14/2000,143,,4808,,,2763,520,,,143,
7/15/2000,190,,3473,,,2259,1703,277,,1207,
7/16/2000,172,,5024,,,4699,1504,,135,423,
7/17/2000,62,,1176,,,3961,1679,,429,365,
7/18/2000,,,12089,,,1734,745,,230,251,
7/19/2000,271,,,5916,,2310,2121,16,647,162,51
7/20/2000,236,,,4537,,1907,1893,16,602,143,53
7/21/2000,176,,,2708,,1507,1529,20,554,109,63
7/22/2000,262,,,5054,,2145,2099,19,672,158,60
7/23/2000,248,,,4820,,2101,2011,19,655,151,61
7/24/2000,119,10,,2955,61,1149,1782,18,994,51,127
7/25/2000,106,10,,2474,56,1014,1616,18,874,47,120
7/26/2000,130,8,,3782,65,1355,1903,16,1121,52,125
7/27/2000,206,15,,5783,105,2144,3051,28,1754,85,208
7/28/2000,232,15,,6504,115,2313,3386,27,2005,94,221
7/29/2000,,,,8344,166,220,1799,18,347,,11
7/30/2000,,,,14687,260,254,2553,20,555,,12
7/31/2000,,,,21443,434,275,3832,22,947,,13
8/1/2000,,,,15314,1503,190,2311,,1405,,
8/2/2000,,,,7130,555,184,4614,129,2035,139,29
8/3/2000,,,,6319,436,141,3550,101,1567,102,26
8/4/2000,,,,5426,425,138,3471,99,1532,100,26
8/5/2000,,,,4494,369,121,3039,86,1342,89,21
8/6/2000,,,,5978,254,,1832,29,1366,12,36
8/7/2000,,,,9215,451,21,2056,12,1059,,
8/8/2000,,,,3377,6148,,490,19,1358,,35
8/9/2000,,,,3033,4795,,939,,867,,
8/10/2000,,,,591,3034,,3181,,865,,505
8/11/2000,29,,,2039,3120,238,2020,,400,106,
8/12/2000,25,,,3398,5469,399,3098,,594,177,
8/13/2000,,,,16262,2554,36,6234,193,928,,382
8/14/2000,,,,9593,9062,20,2310,,1724,,721
8/15/2000,,,,6745,9075,,4631,260,1680,,101
8/16/2000,,,,7483,10503,,3330,477,916,,181
8/17/2000,,,,5011,11078,,2773,62,1025,,
8/18/2000,,,,994,8220,,4006,141,2195,,225
8/19/2000,,,,3492,7671,,394,59,4648,,650
8/20/2000,,,,5876,5320,,11638,30,1068,,243
8/21/2000,,,,6966,10481,,2788,,4427,,96
8/22/2000,,,,6908,15174,,6809,,2050,,922
8/23/2000,,,,3684,11356,,4137,839,2576,,312
8/24/2000,,,,10365,8619,,1938,754,1904,,840
8/25/2000,,,,6455,8583,,952,,1615,,178
8/26/2000,,,,2249,8920,,1964,244,158,,124
8/27/2000,,,,1368,4783,,3455,504,863,,72
8/28/2000,,,,968,8088,,1515,190,1341,,206
8/29/2000,,,,1917,4052,,4160,154,703,93,488
8/30/2000,,,,2205,4182,,4425,108,584,93,560
8/31/2000,,,,1939,4010,,3683,158,689,84,413
9/1/2000,,,,2064,4033,,3492,143,634,79,397
9/2/2000,,,,2369,4831,,898,,924,70,52
9/3/2000,,,,2084,2307,,1435,167,213,,39
9/4/2000,,,,1494,1851,,1284,109,244,,45
9/5/2000,,,,2413,2885,,1738,287,657,,135
9/6/2000,,,,1245,1542,,1182,192,454,,94
9/7/2000,,,,659,929,,1237,191,501,,107
9/8/2000,,,,695,926,,1020,164,393,,82
9/9/2000,,,,930,1183,,1059,173,404,,83
9/10/2000,,,,733,937,,861,140,328,,67
9/11/2000,,,,207,1404,,933,19,714,,32
9/12/2000,,,,125,1329,,763,19,547,,32
9/13/2000,,,,1523,1698,,402,162,174,,64
9/14/2000,,,,864,958,,468,101,203,,75
