Date,CHINOOK,JACK,ALLCHINOOK,SCHUM,FCHUM,COHO,PINK,CISCO,BROAD,HUMPBACK,SHEEFISH,OTHER,ALLOTHER
7/20/2019,24111,0,24111,0,13348246,0,0,20128891,0,8278255,0,113266,28520412
7/21/2019,14963122,0,14963122,0,20988050,0,232425,0,0,1761794,50691,0,1812485
7/22/2019,213889,0,213889,0,4575796,0,1198130,3099608,0,1944445,3353,17863,5065269
7/23/2019,162918,0,162918,0,4196896,0,948054,2249331,0,1471160,2314,13160,3735965
7/24/2019,85838,0,85838,0,1924386,0,392530,433624,0,155266,0,126817,715707
7/25/2019,0,0,0,0,1603113,0,0,1689859,311251,670784,0,0,2671894
7/26/2019,0,20709,20709,0,3021196,9991,318799,2360545,0,142155,0,22527,2525227
7/27/2019,0,17367,17367,0,1573362,0,524507,742054,0,304429,0,19686,1066169
7/28/2019,412482,28800,441282,0,5700919,15663,0,11065194,0,190192,0,56641,11312027
7/29/2019,29181,0,29181,0,3671802,0,368232,8441398,85521,827321,5274,96154,9455668
7/30/2019,63130,0,63130,0,729364,19909,287651,6237541,0,272612,2218785,505,8729443
7/31/2019,10600,0,10600,0,1072121,9955,212869,712775,108887,587818,216518,210691,1836689
8/1/2019,34942,116870,151812,0,1123734,0,678661,1039645,83503,1345382,8985,224238,2701753
8/2/2019,242375,0,242375,0,4216385,0,2239422,1216048,24347,1885308,0,89018,3214721
8/3/2019,82826,0,82826,0,4841225,29101,371480,1457840,14584,423001,0,225437,2120862
8/4/2019,39212,0,39212,0,6716241,13487,167085,835662,9093,264244,0,140245,1249244
8/5/2019,0,0,0,0,2654258,216927,245326,1236047,0,13771,0,811211,2061029
8/6/2019,0,0,0,0,38042853,209258,0,129556,0,0,68894,22439,220889
8/7/2019,0,0,0,0,116895906,122241,630273,7359666,0,263191,0,57909,7680766
8/8/2019,0,0,0,0,21299738,16327,191338,1551775,0,67820,0,15430,1635025
8/9/2019,0,0,0,0,1476868,56771,0,1196904,38715,3401861,0,70672,4708152
8/10/2019,0,0,0,0,4510914,7720,497115,1071057,14371,287897,456,12534,1386315
8/11/2019,39189,0,39189,0,395946,29586,0,39471,7870,411034,0,33056,491431
8/12/2019,0,0,0,0,1336290,89259,0,3076239,129129,614506,0,0,3819874
8/13/2019,149132,0,149132,0,983440,57734,0,530817,0,700436,0,84496,1315749
8/14/2019,0,26297,26297,0,955502,93962,0,742625,0,463300,0,43069,1248994
8/15/2019,0,0,0,0,2136019,142857,157167,1019753,0,827275,0,56968,1903996
8/16/2019,0,0,0,0,13934897,248484,0,440390,21190,98151,3561,39038,602330
8/17/2019,0,0,0,0,27593930,1178770,0,3235938,121120,433227,1802,20044,3812131
8/18/2019,0,0,0,0,18796017,4159371,0,2345781,1025592,271378,0,112491,3755242
8/19/2019,0,0,0,0,5541942,1093538,0,497246,209545,56404,0,41172,804367
8/20/2019,0,0,0,0,1485260,2414072,0,4524729,0,116046,0,0,4640775
8/21/2019,0,0,0,0,1004274,631155,0,1220005,0,1358636,0,13622,2592263
8/22/2019,0,0,0,0,694447,523507,0,248794,19051,355634,0,162452,785931
8/23/2019,3895,0,3895,0,1091239,129728,0,505135,15407,155168,2696,14809,693215
8/24/2019,6329,0,6329,0,2915255,258235,0,1479937,25037,366446,4380,24062,1899862
8/25/2019,0,0,0,0,12637368,191330,0,2008357,0,31370,0,22596,2062323
8/26/2019,0,0,0,0,46417734,1065590,0,23863674,0,178336,0,188985,24230995
8/27/2019,0,0,0,0,26808748,7407936,0,2673461,9188,135434,0,21447,2839530
8/28/2019,0,0,0,0,11976268,1656596,0,522154,1783,24529,0,4163,552629
8/29/2019,0,0,0,0,6211961,3892812,0,401670,23473,53929,0,14516,493588
8/30/2019,0,0,0,0,8605345,6498834,0,629812,38458,88192,0,23569,780031
8/31/2019,0,0,0,0,13692287,1068840,0,7105135,400329,602333,38654,47053,8193504
