Date,CHINOOK,JACK,ALLCHINOOK,SCHUM,FCHUM,COHO,PINK,CISCO,BROAD,HUMPBACK,SHEEFISH,OTHER,ALLOTHER
6/2/2019,26162,28941,55103,117,0,0,0,0,0,10046,160729,127235,298010
6/3/2019,346712,28343,375055,29,0,0,0,187166,0,193796,62433,138170,581565
6/4/2019,86764,2090,88854,32563,0,0,0,229873,0,42740,135734,62838,471185
6/5/2019,39689,933,40622,954,0,0,0,32403,0,66914,4433,98935,202685
6/6/2019,138217,57756,195973,752,0,0,0,24027,13055,0,47564,758,85404
6/7/2019,1234087,33731,1267818,194401,0,0,0,0,16143,0,220484,387728,624355
6/8/2019,1455110,128846,1583956,1604445,0,0,0,0,17688,143270,29724,157150,347832
6/9/2019,92750,83358,176108,250961,0,0,0,205736,37707,0,95660,283759,622862
6/10/2019,3081997,102646,3184643,1787987,0,0,0,0,359695,54265,92102,44659,550721
6/11/2019,32677,158030,190707,541721,0,0,0,557791,25167,168210,141023,7784,899975
6/12/2019,33950,40021,73971,175583,0,0,0,11810,15428,104557,45654,4842,182291
6/13/2019,21088,35851,56939,650160,0,0,0,345373,0,19600,17417,29337,411727
6/14/2019,677693,145767,823460,80880,0,0,0,135673,0,0,183838,42503,362014
6/15/2019,3082490,64428,3146918,990022,0,0,0,180954,153561,115999,102582,0,553096
6/16/2019,186783,9531,196314,45294,0,0,0,462897,10928,0,1206316,324443,2004584
6/17/2019,87255,378226,465481,1885,0,0,0,179924,209434,0,14155,173881,577394
6/18/2019,961225,9695,970920,223236,0,0,0,0,8698,173095,102055,112812,396660
6/19/2019,8716480,134992,8851472,2590499,0,0,0,22472433,12642,9076,1648,11325,22507124
6/20/2019,3029302,550476,3579778,4266786,0,0,0,0,313090,1748218,611657,65874,2738839
6/21/2019,2580479,16294,2596773,11236173,0,0,0,32286211,385885,769487,1158946,132659,34733188
6/22/2019,7596460,1112748,8709208,9672780,0,0,0,3555290,56518,323649,1624850,150281,5710588
6/23/2019,701589,1317322,2018911,13064349,0,0,0,12013631,0,98278,25779,675769,12813457
6/24/2019,15172718,27993,15200711,73355536,0,0,0,2183505,0,92224,1773786,212379,4261894
6/25/2019,20061074,3501282,23562356,103362671,0,0,0,1319849,0,0,42042,0,1361891
6/26/2019,1059144,140599,1199743,3972471,0,0,0,536915,0,0,425233,106053,1068201
6/27/2019,1042479,320408,1362887,13697278,0,0,0,20330126,0,82854,162207,80667,20655854
6/28/2019,812625,986873,1799498,14950652,0,0,0,486757,139891,10490967,0,0,11117615
6/29/2019,8230552,994095,9224647,869251879,0,0,0,13668894,0,921042,46980,397372,15034288
6/30/2019,8566930,952007,9518937,754644304,0,0,0,7372891,0,16083,18123,621067,8028164
7/1/2019,3217526,321044,3538570,20134200,0,0,0,7128921,0,6327804,0,39159,13495884
7/2/2019,5437709,863036,6300745,115589097,0,0,0,9154282,0,265044,82953,43492,9545771
7/3/2019,1811146,5786372,7597518,206632204,0,0,4762487,29713128,0,6886194,149172,614574,37363068
7/4/2019,11319782,2476004,13795786,194291754,0,0,446947,7783687,207559,3497081,0,287304,11775631
7/5/2019,1875301,371990,2247291,74735976,0,0,79536,1224145,33204,597137,0,55076,1909562
7/6/2019,359518,5771,365289,10626205,0,0,462130,6263160,51737,8712651,0,223838,15251386
7/7/2019,2168165,356979,2525144,11988134,0,0,793922,4110467,0,1695620,0,415273,6221360
7/8/2019,182423,6333,188756,3257073,0,0,5426,2356200,0,4395860,66358,582436,7400854
7/9/2019,89214,6334,95548,3294405,0,0,5419,1004892,0,2441165,66372,426985,3939414
7/10/2019,148775,244609,393384,2993544,0,0,2342934,88965009,175738,53728024,0,87629,142956400
7/11/2019,97636,0,97636,5169712,0,0,897994,15019871,2698523,17532174,5087,296544,35552199
7/12/2019,150989,0,150989,3521680,0,0,715307,10915110,2421521,12858197,6083,317013,26517924
7/13/2019,67804,0,67804,41338598,0,0,184453,9610055,7061,44033754,180248,22489,53853607
7/14/2019,132989,0,132989,77773764,0,0,489019,16733715,40940,61435397,243577,126801,78580430
7/15/2019,13906,0,13906,11431091,0,0,5705508,2507965,23306,691000,0,81163,3303434
7/16/2019,5914,0,5914,29358563,0,0,2263144,1413086,11343,418920,0,39503,1882852
7/17/2019,91302,37437,128739,10579480,0,0,0,0,0,6496075,832215,387681,7715971
7/18/2019,0,0,0,23589757,0,0,0,6283226,0,57960615,234390,0,64478231
7/19/2019,0,4230,4230,0,40624824,0,414736,24596213,27002,5237966,28023,20849,29910053
