day,zone,species,day_est,day_var
06/06/02,1,CHINOOK,287,82024.949964
06/06/02,2,CHINOOK,126,242526.74781
06/06/02,3,CHINOOK,368,-17030420.02
06/06/02,1,CISCO,1098,871153.86759
06/06/02,2,CISCO,208,721290.39359
06/06/02,3,HUMPBACK,292,-19205954.07
06/06/02,2,JACK,86,127066.94543
06/06/02,3,JACK,225,-21070029.11
06/06/02,1,SCHUM,995,435756.07351
06/06/02,2,SCHUM,1629,46562685.245
06/06/02,3,SCHUM,1322,11385841.403
06/06/02,2,SHEEFISH,165,459244.0182
06/07/02,1,CHINOOK,358,368559.52158
06/07/02,2,CHINOOK,692,103472.82525
06/07/02,3,CHINOOK,469,771354.34997
06/07/02,1,CISCO,805,440792.34594
06/07/02,1,HUMPBACK,158,16558.811812
06/07/02,1,JACK,230,101844.72226
06/07/02,2,JACK,44,1243.3574063
06/07/02,3,JACK,296,82579.308737
06/07/02,1,SCHUM,517,854768.78205
06/07/02,2,SCHUM,879,139731.98294
06/07/02,3,SCHUM,1060,724242.19186
06/07/02,2,SHEEFISH,155,26103.217875
06/08/02,1,CHINOOK,328,337512.05295
06/08/02,2,CHINOOK,537,80250.132582
06/08/02,3,CHINOOK,572,941352.12296
06/08/02,1,CISCO,737,403659.98134
06/08/02,1,HUMPBACK,145,15163.896853
06/08/02,1,JACK,211,93265.318843
06/08/02,2,JACK,34,964.30726103
06/08/02,3,JACK,362,100778.85423
06/08/02,1,SCHUM,474,782763.02616
06/08/02,2,SCHUM,682,108371.54712
06/08/02,3,SCHUM,1293,883856.97815
06/08/02,2,SHEEFISH,120,20244.800413
06/09/02,1,CHINOOK,525,6118.3544625
06/09/02,2,CHINOOK,939,42712.146718
06/09/02,1,CISCO,933,52445.72648
06/09/02,2,JACK,135,2084.9066411
06/09/02,1,SCHUM,1281,288825.43956
06/09/02,2,SCHUM,1549,96639.03905
06/09/02,3,SCHUM,2221,243351.94132
06/09/02,1,SHEEFISH,168,73639.006204
06/09/02,2,SHEEFISH,78,407.60795763
06/10/02,2,CHINOOK,398,14325.092455
06/10/02,3,CHINOOK,306,2027.0456878
06/10/02,1,CISCO,686,462743.72711
06/10/02,3,CISCO,171,17386.89847
06/10/02,1,HUMPBACK,458,156962.12554
06/10/02,1,JACK,186,38818.974625
06/10/02,2,JACK,341,65124.801235
06/10/02,1,SCHUM,798,68797.036165
06/10/02,2,SCHUM,1621,30980.027205
06/10/02,3,SCHUM,472,25014.879784
06/10/02,1,SHEEFISH,572,382011.17409
06/10/02,2,SHEEFISH,280,2943.4928438
06/10/02,3,SHEEFISH,68,3486.6162007
06/11/02,1,BROAD,277,139830.22474
06/11/02,2,CHINOOK,1002,5981.5401204
06/11/02,3,CHINOOK,232,33099.322042
06/11/02,1,CISCO,1235,1087880.1715
06/11/02,1,HUMPBACK,477,174459.2443
06/11/02,2,JACK,428,246528.27757
06/11/02,3,JACK,257,411825.75192
06/11/02,1,SCHUM,329,152948.48578
06/11/02,2,SCHUM,1935,477608.61738
06/11/02,3,SCHUM,661,241739.77778
06/11/02,1,SHEEFISH,443,353612.03134
06/11/02,2,SHEEFISH,387,31001.998253
06/12/02,1,BROAD,230,36713.10048
06/12/02,1,CHINOOK,443,3193.8542052
06/12/02,2,CHINOOK,1302,44805.18897
06/12/02,3,CHINOOK,992,31431.783603
06/12/02,1,HUMPBACK,579,303266.20512
06/12/02,2,JACK,375,2135.3701335
06/12/02,1,SCHUM,1066,242496.03895
06/12/02,2,SCHUM,2028,30801.232094
06/12/02,3,SCHUM,710,17040.79502
06/12/02,1,SHEEFISH,1297,39438.990284
06/12/02,2,SHEEFISH,69,5535.2573994
06/13/02,2,CHINOOK,444,184354.63394
06/13/02,3,CHINOOK,429,896714.95893
06/13/02,1,CISCO,1709,1659098.3417
06/13/02,2,CISCO,398,116358.12449
06/13/02,1,HUMPBACK,1021,141791.60655
06/13/02,2,HUMPBACK,112,9606.0589298
06/13/02,1,JACK,291,27887.31004
06/13/02,2,JACK,58,5254.4753928
06/13/02,1,OTHER,105,8802.659311
06/13/02,1,SCHUM,380,57128.300837
06/13/02,2,SCHUM,1404,41815.367555
06/13/02,3,SCHUM,1283,933179.76449
06/13/02,1,SHEEFISH,486,474877.62105
06/13/02,2,SHEEFISH,584,25237.747783
06/14/02,1,CHINOOK,233,28890.31376
06/14/02,2,CHINOOK,1754,544075.96756
06/14/02,3,CHINOOK,1090,2024590.2308
06/14/02,1,JACK,269,40585.55362
06/14/02,2,JACK,343,74287.021027
06/14/02,2,OTHER,73,3564.1809241
06/14/02,1,SCHUM,3717,986599.98792
06/14/02,2,SCHUM,9541,10859149.379
06/14/02,3,SCHUM,3072,3688561.7639
06/14/02,2,SHEEFISH,529,714896.97276
06/14/02,3,SHEEFISH,174,37154.942541
06/15/02,1,CHINOOK,130,19791.970354
06/15/02,2,CHINOOK,6395,3464132.8345
06/15/02,3,CHINOOK,1888,1281759.2858
06/15/02,1,JACK,242,375.4848797
06/15/02,2,JACK,1273,897638.60721
06/15/02,1,SCHUM,10487,302663.75817
06/15/02,2,SCHUM,35689,5687405.3454
06/15/02,3,SCHUM,12422,8231665.8103
06/15/02,1,SHEEFISH,103,9091.7209975
06/15/02,2,SHEEFISH,390,5942.3944398
06/16/02,1,CHINOOK,663,677895.05462
06/16/02,2,CHINOOK,1956,4353422.6082
06/16/02,3,CHINOOK,2011,2028702.3204
06/16/02,1,JACK,1107,113687.05115
06/16/02,2,JACK,266,45067.1081
06/16/02,3,JACK,1525,184858007.79
06/16/02,1,SCHUM,12050,1498947.4329
06/16/02,2,SCHUM,19232,18836217.495
06/16/02,3,SCHUM,17235,148922279.34
06/16/02,1,SHEEFISH,273,117947.85706
06/16/02,2,SHEEFISH,177,67076.056624
06/17/02,1,CHINOOK,278,5176.198971
06/17/02,2,CHINOOK,996,53917.046064
06/17/02,3,CHINOOK,763,295444.33142
06/17/02,1,CISCO,264,36234.546499
06/17/02,2,CISCO,148,12861.743914
06/17/02,2,HUMPBACK,117,8512.8631326
06/17/02,1,JACK,698,15399.261064
06/17/02,2,JACK,442,10701.58255
06/17/02,3,JACK,384,75681.719449
06/17/02,1,OTHER,384,82309.645948
06/17/02,1,SCHUM,5776,1072633.499
06/17/02,2,SCHUM,3883,842068.13414
06/17/02,3,SCHUM,11885,2624998.264
06/17/02,1,SHEEFISH,273,9552.6048748
06/18/02,1,CHINOOK,484,50949.326625
06/18/02,2,CHINOOK,3699,2780883.8819
06/18/02,3,CHINOOK,694,303301.29717
06/18/02,1,HUMPBACK,255,26558.686452
06/18/02,2,HUMPBACK,409,96681.913398
06/18/02,1,JACK,482,32265.076249
06/18/02,2,JACK,1535,428228.33013
06/18/02,3,JACK,1452,659725.49543
06/18/02,1,OTHER,112,15300.69672
06/18/02,1,SCHUM,6215,716860.63652
06/18/02,2,SCHUM,16475,12909735.206
06/18/02,3,SCHUM,23796,17561851.599
06/18/02,1,SHEEFISH,485,69164.928018
06/18/02,2,SHEEFISH,119,9566.5713991
06/19/02,1,CHINOOK,538,56671.538972
06/19/02,2,CHINOOK,1793,1347863.5006
06/19/02,3,CHINOOK,372,162467.98315
06/19/02,1,HUMPBACK,284,29541.541253
06/19/02,2,HUMPBACK,198,46860.648547
06/19/02,1,JACK,536,35888.826157
06/19/02,2,JACK,744,207557.51072
06/19/02,3,JACK,778,353392.06154
06/19/02,1,OTHER,125,17019.14604
06/19/02,1,SCHUM,6913,797372.56978
06/19/02,2,SCHUM,7985,6257205.1284
06/19/02,3,SCHUM,12746,9407274.6679
06/19/02,1,SHEEFISH,539,76932.967975
06/19/02,2,SHEEFISH,57,4636.8107992
06/20/02,1,CHINOOK,286,60698.442376
06/20/02,2,CHINOOK,298,17666.57416
06/20/02,2,CISCO,101,6173.9620311
06/20/02,1,HUMPBACK,306,77571.271657
06/20/02,1,JACK,795,37639.051721
06/20/02,2,JACK,189,7327.8567713
06/20/02,1,OTHER,119,20960.151329
06/20/02,1,PINK,252,36411.679801
06/20/02,2,PINK,206,7920.1885745
06/20/02,1,SCHUM,4147,708804.78478
06/20/02,2,SCHUM,2417,706038.84226
06/20/02,3,SCHUM,18314,4937937.0389
