Year,stbreak,group,percent
2009,7,7,4.104104104
2010,7,7,3.587845306
2011,7,7,2.030015212
2012,7,7,3.670742579
2013,7,7,2.615116994
2014,7,7,2.298144929
2015,7,7,2.670649766
2016,7,7,4.2476085
2017,7,7,0.886743258
2018,7,7,4.894555114
2019,7,7,8.130615083
2004,8,7,0
2005,8,7,0
2006,8,7,0
2007,8,7,0
2008,8,7,2.044278524
2009,8,7,7.692307692
2010,8,7,4.619576113
2011,8,7,1.089501287
2012,8,7,0.788358548
2013,8,7,0.975595903
2014,8,7,2.080044202
2015,8,7,0.934380693
2016,8,7,3.559144986
2017,8,7,0.615151676
2018,8,7,0.889824725
2019,8,7,2.68613946
2004,9,7,0
2005,9,7,0
2006,9,7,0
2007,9,7,0
2008,9,7,0.95720405
2009,9,7,3.106212425
2010,9,7,1.08698913
2011,9,7,2.460831604
2012,9,7,6.2
2013,9,7,0.2799972
2014,9,7,3.10496895
2015,9,7,3.645
2016,9,7,0.31500315
2017,9,7,0.393966577
2018,9,7,0.841865267
2019,9,7,0.213
2008,1,8,4.213103621
2009,1,8,0.399226322
2010,1,8,0.29300293
2011,1,8,0.195768306
2012,1,8,1.622911832
2013,1,8,2.004008016
2014,1,8,0.52150288
2015,1,8,0.32300323
2016,1,8,0.847
2017,1,8,4.024675988
2018,1,8,0.144945444
2019,1,8,0.88898222
2008,2,8,1.313145105
2009,2,8,6.445385965
2010,2,8,1.74798252
2011,2,8,0.40504168
2012,2,8,1.538260262
2013,2,8,1.912100044
2014,2,8,6.662010744
2015,2,8,1.388
2016,2,8,1.796035921
2017,2,8,3.69896301
2018,2,8,2.681729597
2019,2,8,6.207624966
2005,3,8,9.451890378
2006,3,8,8.27595319
2007,3,8,1.230369111
2008,3,8,3.462083621
2009,3,8,8.311357462
2010,3,8,1.867714814
2011,3,8,4.578671058
2012,3,8,0.914300621
2013,3,8,4.702507481
2014,3,8,10.82886919
2015,3,8,1.195472315
2016,3,8,8.617913821
2017,3,8,5.224052241
2018,3,8,10.00364015
2019,3,8,7.459551065
2005,4,8,10.0530159
2006,4,8,5.201560468
2007,4,8,5.041512454
2008,4,8,10.4245673
2009,4,8,11.76735263
2010,4,8,11.90844635
2011,4,8,9.191697638
2012,4,8,2.602602603
2013,4,8,16.40280121
2014,4,8,14.9874302
2015,4,8,0.257
2016,4,8,12.867
2017,4,8,9.462905371
2018,4,8,16.39383606
2019,4,8,3.242
2004,5,8,5.392156863
2005,5,8,7.6756091
2006,5,8,11.83175812
2007,5,8,19.92597779
2008,5,8,27.1
2009,5,8,21.77822178
2010,5,8,11.497
2011,5,8,1.937838603
2012,5,8,12.87151795
2013,5,8,5.8
2014,5,8,2.00302003
2015,5,8,12.07794334
2016,5,8,22.30779633
2017,5,8,18.25332414
2018,5,8,35.15613867
2019,5,8,12.73443161
2004,6,8,1.170427247
2005,6,8,5.346456505
2006,6,8,0.150060024
2007,6,8,13.78563815
2008,6,8,0.600600601
2009,6,8,4
2010,6,8,2.968
2011,6,8,5.82
2012,6,8,2.395512631
2013,6,8,1.421879625
2014,6,8,4.381
2015,6,8,4.31314174
2016,6,8,5.906059061
2017,6,8,7.499234926
2018,6,8,9.852
2019,6,8,4.679
2004,7,8,0.523302811
2005,7,8,1.022284348
2006,7,8,1.690764491
2007,7,8,0.569969694
2008,7,8,3.3
2009,7,8,3.103103103
2010,7,8,1.313274308
2011,7,8,1.55188147
2012,7,8,0.367055046
2013,7,8,0.203657322
2014,7,8,1.397040123
2015,7,8,0.166385729
2016,7,8,1.038946299
2017,7,8,0.268483939
2018,7,8,3.741998022
2019,7,8,4.292350722
2004,8,8,2.678345116
2005,8,8,0.120036011
2006,8,8,0.240012723
2007,8,8,0.352980092
2008,8,8,0.336758518
2009,8,8,0.699300699
2010,8,8,0.659022113
2011,8,8,0.155580889
2012,8,8,0.200190089
2013,8,8,0.101636205
2014,8,8,0.45953229
2015,8,8,0.155326965
2016,8,8,0.106736966
2017,8,8,0.242597124
2018,8,8,0.283112956
2019,8,8,0.084298207
2004,9,8,0.552418513
2005,9,8,0.120036011
2006,9,8,0.820246074
2007,9,8,0.092072774
2008,9,8,4.256072064
2009,9,8,0.601202405
2010,9,8,0.14499855
2011,9,8,0.132243017
2012,9,8,0.2
2013,9,8,0.08399916
2014,9,8,0.55299447
2015,9,8,0.884
2016,9,8,0.05800058
2017,9,8,0.148862686
2018,9,8,0.171284167
2019,9,8,0.208
2008,1,10,0.100174468
2009,1,10,0.422903805
2010,1,10,0.10300103
2011,1,10,0.67194084
2012,1,10,0.100132252
2013,1,10,0.100200401
2014,1,10,0.203214393
2015,1,10,0.12800128
2016,1,10,0.117
2017,1,10,0.191673661
2018,1,10,0.382482417
2019,1,10,0.13599728
2008,2,10,0.10010832
2009,2,10,0.202463336
2010,2,10,0.17299827
2011,2,10,0.528832421
2012,2,10,0.145173613
2013,2,10,0.236649091
2014,2,10,0.270614096
2015,2,10,1.756
2016,2,10,0.62901258
2017,2,10,0.13099869
2018,2,10,0.501653524
2019,2,10,0.375129413
2005,3,10,0.25005001
2006,3,10,0.456130598
2007,3,10,0.100030009
2008,3,10,0.453991952
2009,3,10,0.139429735
2010,3,10,0.106797006
2011,3,10,0.716092529
2012,3,10,0.200095424
2013,3,10,0.488199234
2014,3,10,0.384847871
2015,3,10,1.490104116
2016,3,10,0.28299717
2017,3,10,0.31500315
2018,3,10,0.255831877
2019,3,10,0.432465769
2005,4,10,0.500150045
2006,4,10,2.950885266
2007,4,10,0.280084025
2008,4,10,1.43616345
2009,4,10,0.352478947
2010,4,10,0.896330326
2011,4,10,0.966760996
2012,4,10,1.001001001
2013,4,10,0.485357023
2014,4,10,0.615525359
2015,4,10,0.194
2016,4,10,0.212
2017,4,10,0.14399856
2018,4,10,0.40099599
2019,4,10,0.273
2004,5,10,1.920768307
2005,5,10,7.187587038
2006,5,10,0.375805084
2007,5,10,0.920276083
2008,5,10,0.3
2009,5,10,0.2997003
2010,5,10,3.538
2011,5,10,0.724702192
2012,5,10,2.937172856
2013,5,10,4.6
2014,5,10,4.73704737
2015,5,10,4.187832357
2016,5,10,4.114988195
2017,5,10,2.938826523
2018,5,10,1.034132192
2019,5,10,0.94386703
2004,6,10,17.98075004
2005,6,10,6.194726824
2006,6,10,13.63545418
2007,6,10,2.215273026
2008,6,10,11.11111111
2009,6,10,0.6
2010,6,10,13.658
2011,6,10,3.46
2012,6,10,8.467508626
2013,6,10,11.61903427
2014,6,10,12.166
2015,6,10,10.82709182
2016,6,10,8.353083531
2017,6,10,10.59913113
2018,6,10,11.674
2019,6,10,10.661
2004,7,10,29.52930491
2005,7,10,15.52588751
2006,7,10,12.72402129
2007,7,10,15.10755352
2008,7,10,13.5
2009,7,10,19.71971972
2010,7,10,21.0160693
2011,7,10,12.89214692
2012,7,10,20.35097607
2013,7,10,31.13877202
2014,7,10,26.5725887
2015,7,10,21.13682698
2016,7,10,29.35221181
2017,7,10,33.53328226
2018,7,10,21.9439419
2019,7,10,12.37470611
2004,8,10,38.69675635
2005,8,10,44.12323697
2006,8,10,29.39229954
2007,8,10,36.48148823
2008,8,10,28.19047109
2009,8,10,25.97402597
2010,8,10,36.2476371
2011,8,10,19.03410161
2012,8,10,42.69097675
2013,8,10,37.76017106
2014,8,10,36.9238477
2015,8,10,33.98033822
2016,8,10,37.20257363
2017,8,10,38.78784826
2018,8,10,38.7641232
2019,8,10,33.87165912
2004,9,10,56.5027562
2005,9,10,44.12323697
2006,9,10,53.65609683
2007,9,10,55.55594566
2008,9,10,39.8166185
2009,9,10,56.21242485
2010,9,10,47.46252537
2011,9,10,44.45716319
2012,9,10,64.3
2013,9,10,70.25729743
2014,9,10,56.34543655
2015,9,10,54.379
2016,9,10,51.48051481
2017,9,10,69.3159393
2018,9,10,59.5016273
2019,9,10,57.946
2008,1,11,0.126055808
2009,1,11,0.316903613
