Date,CHINOOK,JACK,SCHUM,FCHUM,COHO,PINK,CISCO,BROAD,HUMPBACK,SHEEFISH,OTHER
6/11/2001,1017,,,,,,521,,541,2719,
6/12/2001,1154,325,,,,,686,,177,1867,148
6/13/2001,2553,153,170,,,,,,,625,159
6/14/2001,2375,143,190,,,,,,390,358,
6/15/2001,1742,347,839,,,,424,,,255,
6/16/2001,3312,497,1466,,,,854,,,456,
6/17/2001,3430,69,8480,,,,125,130,,291,60
6/18/2001,4949,99,12379,,,,177,185,,414,85
6/19/2001,3846,422,18815,,,,427,,256,198,129
6/20/2001,4920,1568,23549,,,,744,,,,
6/21/2001,2356,171,18505,,,,846,,,,631
6/22/2001,1333,526,11551,,,,283,,220,,
6/23/2001,2672,294,9353,,,,,,,,
6/24/2001,2297,153,12683,,,,492,,,,
6/25/2001,2797,598,16741,,,,212,,172,100,
6/26/2001,7014,613,20122,,,,,363,,226,
6/27/2001,6617,1612,35228,,,,758,,,187,
6/28/2001,6206,955,29922,,,,558,,235,,
6/29/2001,7416,870,28160,,,,,185,,,131
6/30/2001,4104,507,22531,,,,1306,,,,
7/1/2001,3693,451,19613,,,,1049,,,,
7/2/2001,2681,455,11730,,,,488,,,268,116
7/3/2001,2126,1454,9547,,,,211,107,,103,
7/4/2001,2055,1343,9316,,,,216,110,,106,
7/5/2001,2403,178,11296,,,,,,,127,
7/6/2001,2324,1047,10391,,,,884,,,326,188
7/7/2001,2113,164,17068,,,,561,,457,,170
7/8/2001,2194,169,18258,,,,231,,,123,
7/9/2001,1696,204,15867,,,,280,,,149,
7/10/2001,1677,261,9940,,,,3279,121,389,340,338
7/11/2001,1516,201,8671,,,,2798,93,299,261,260
7/12/2001,1041,168,5580,,,,2065,78,251,219,218
7/13/2001,867,209,4702,,,,2043,97,311,272,270
7/14/2001,711,138,4380,,,,1517,64,205,179,178
7/15/2001,685,139,4224,,,,1493,65,207,181,180
7/16/2001,609,142,3806,,,,1412,66,211,184,183
7/17/2001,382,,3418,,,268,720,,812,1376,91
7/18/2001,487,,4055,,,239,786,,807,2303,81
7/19/2001,,,,20480,,,507,122,655,441,
7/20/2001,,,,39950,,,1024,247,1202,755,
7/21/2001,,,,30972,,,1565,,972,,
7/22/2001,808,64,,12844,,689,1138,89,1766,167,
7/23/2001,696,80,,7091,,396,1086,112,1966,124,
7/24/2001,,,,4993,48,140,1161,366,3012,326,710
7/25/2001,,,,6956,72,202,1689,537,4410,472,1032
7/26/2001,,,,18002,,,1002,,2115,,
7/27/2001,,,,14698,182,284,3029,,1713,,
7/28/2001,182,67,,6199,149,92,1903,243,2487,346,151
7/29/2001,126,46,,3896,96,50,1153,133,1569,195,83
7/30/2001,131,48,,4284,111,75,1482,199,1893,279,124
7/31/2001,132,48,,4576,109,70,1419,185,1839,261,115
8/1/2001,86,31,,2980,87,76,1298,201,1550,270,125
8/2/2001,,,,11358,44,265,3955,60,2320,54,93
8/3/2001,,,,16276,397,,3719,,2573,,119
8/4/2001,,,,14200,427,,3930,,2680,,121
8/5/2001,,,,26297,225,,3967,,647,,394
8/6/2001,,,,14472,3204,,6086,,2129,98,183
8/7/2001,,,,9483,2095,,4259,,1588,55,103
8/8/2001,192,,,9264,3041,,2691,,1032,,198
8/9/2001,,,,27973,3260,,2743,,999,,
8/10/2001,,,,14416,10745,,8269,,1213,140,310
8/11/2001,,,,10060,7971,,5237,,751,99,182
8/12/2001,,,,8338,7839,,2462,,850,,273
8/13/2001,,,,8366,7097,,2462,,1440,,404
8/14/2001,159,,,4630,11587,,2090,,838,,481
8/15/2001,,,,10444,9000,,4601,,832,,229
8/16/2001,,,,8126,11806,,3182,132,1315,,467
8/17/2001,,,,4924,7713,,4328,,2938,170,192
8/18/2001,,,,2984,9853,,3873,266,1231,86,101
8/19/2001,,,,2774,4460,,3397,100,1683,129,210
8/20/2001,,,,3174,5158,,4492,131,2236,174,287
8/21/2001,,,,3601,8060,,1967,95,2151,,62
8/22/2001,,,,2829,6427,,1414,63,1535,,41
8/23/2001,,,,2695,4356,,5489,148,1922,40,77
8/24/2001,,,,5124,6701,,1999,277,1969,,480
8/25/2001,,,,4612,6105,,1610,222,1624,,389
8/26/2001,,,,1165,7889,,2972,771,1673,,271
8/27/2001,,,,449,6429,,2542,229,,,315
8/28/2001,,,,217,3247,,4454,153,1327,,505
8/29/2001,,,,132,2088,,3164,103,923,,370
8/30/2001,54,,,1708,1119,,823,,834,,37
8/31/2001,124,,,949,1075,,271,,380,,85
