Date,CHINOOK,JACK,ALLCHINOOK,SCHUM,FCHUM,COHO,PINK,CISCO,BROAD,HUMPBACK,SHEEFISH,OTHER,ALLOTHER,TOTAL
8/18/2012,0,0,0,,55809,2210,0,3649,89,1651,0,78,5467,63486
8/19/2012,0,0,0,,103248,4547,0,7396,187,2981,0,164,10728,118523
8/20/2012,0,0,0,,82597,8510,0,2223,629,8895,0,330,12077,103184
8/21/2012,0,0,0,,34056,16293,0,6404,403,4002,71,124,11004,61353
8/22/2012,0,0,0,,16481,8448,0,3614,230,2461,69,122,6496,31425
8/23/2012,0,0,0,,9163,4507,0,3720,0,3723,48,0,7491,21161
8/24/2012,0,0,0,,6857,4751,0,4187,0,1008,0,54,5249,16857
8/25/2012,0,0,0,,7259,4560,0,0,0,4562,0,138,4700,16519
8/26/2012,0,0,0,,4104,1693,0,3292,229,1936,0,440,5897,11694
8/27/2012,0,0,0,,4448,1725,0,3084,211,1879,0,417,5591,11764
8/28/2012,0,0,0,,3083,5518,0,3108,785,1979,0,197,6069,14670
8/29/2012,0,0,0,,2618,4456,0,1994,459,1375,0,120,3948,11022
8/30/2012,0,0,0,,2697,2325,0,2182,386,1890,0,79,4537,9559
8/31/2012,0,0,0,,6587,1203,0,1286,0,357,0,200,1843,9633
9/1/2012,0,0,0,,2238,2568,0,811,272,2980,0,893,4956,9762
9/2/2012,0,0,0,,4079,1652,0,2756,124,950,0,239,4069,9800
9/3/2012,0,0,0,,4415,3357,0,911,61,841,0,116,1929,9701
9/4/2012,0,0,0,,3386,4162,0,1402,212,1240,0,217,3071,10619
9/5/2012,0,0,0,,3141,4602,0,2706,0,512,0,0,3218,10961
9/6/2012,0,0,0,,4298,4846,0,753,0,154,0,287,1194,10338
9/7/2012,0,0,0,,2723,4643,0,724,0,1679,0,128,2531,9897
