day,zone,species,day_est,day_var
06/12/99,2,BROAD,134,22185.102008
06/12/99,2,CHINOOK,40,4096.018268
06/12/99,1,CISCO,552,267559.12034
06/12/99,2,CISCO,165,18073.182038
06/12/99,1,HUMPBACK,460,203751.05137
06/12/99,2,HUMPBACK,199,101362.12146
06/12/99,3,HUMPBACK,287,60168.661038
06/12/99,1,OTHER,691,27772.125525
06/12/99,2,OTHER,115,33206.372557
06/12/99,1,SHEEFISH,209,493332.70789
06/12/99,2,SHEEFISH,290,71768.615428
06/12/99,3,SHEEFISH,144,57572.844936
06/13/99,2,BROAD,191,31709.191539
06/13/99,2,CHINOOK,57,5854.4435704
06/13/99,1,CISCO,405,196453.5814
06/13/99,2,CISCO,235,25832.019649
06/13/99,1,HUMPBACK,338,149602.91283
06/13/99,2,HUMPBACK,285,144876.99552
06/13/99,3,HUMPBACK,307,64307.848008
06/13/99,1,OTHER,507,20391.506429
06/13/99,2,OTHER,165,47461.906074
06/13/99,1,SHEEFISH,154,362226.40127
06/13/99,2,SHEEFISH,415,102578.96368
06/13/99,3,SHEEFISH,153,61533.457745
06/14/99,2,BROAD,161,26713.844679
06/14/99,2,CHINOOK,48,4932.1565335
06/14/99,1,CISCO,373,180774.44066
06/14/99,2,CISCO,198,21762.54036
06/14/99,1,HUMPBACK,311,137662.96697
06/14/99,2,HUMPBACK,240,122053.61815
06/14/99,3,HUMPBACK,208,43626.8737
06/14/99,1,OTHER,467,18764.041574
06/14/99,2,OTHER,139,39984.93577
06/14/99,1,SHEEFISH,141,333316.77954
06/14/99,2,SHEEFISH,349,86419.059273
06/14/99,3,SHEEFISH,104,41744.70881
06/15/99,2,BROAD,105,45644.862174
06/15/99,1,CHINOOK,420,69075.947745
06/15/99,2,CHINOOK,244,22442.34063
06/15/99,3,CHINOOK,255,333443.81926
06/15/99,2,CISCO,209,28343.652059
06/15/99,1,JACK,170,49701.878235
06/15/99,1,OTHER,81,152124.33932
06/15/99,2,OTHER,45,19870.656948
06/15/99,1,SCHUM,234,139305.86693
06/15/99,2,SCHUM,468,130562.10687
06/15/99,3,SCHUM,347,334365.72504
06/15/99,1,SHEEFISH,159,24528.886273
06/15/99,2,SHEEFISH,303,202414.99279
06/16/99,2,BROAD,142,61639.671953
06/16/99,1,CHINOOK,458,75298.814664
06/16/99,2,CHINOOK,330,30306.554746
06/16/99,3,CHINOOK,386,504062.50557
06/16/99,2,CISCO,283,38275.795602
06/16/99,1,JACK,186,54179.387179
06/16/99,1,OTHER,88,165828.81316
06/16/99,2,OTHER,60,26833.705206
06/16/99,1,SCHUM,255,151855.55896
06/16/99,2,SCHUM,632,176313.50067
06/16/99,3,SCHUM,524,505456.13804
06/16/99,1,SHEEFISH,174,26738.627868
06/16/99,2,SHEEFISH,409,273344.97597
06/17/99,2,BROAD,119,51655.084282
06/17/99,1,CHINOOK,409,67196.655631
06/17/99,2,CHINOOK,276,25397.403816
06/17/99,3,CHINOOK,278,362597.47415
06/17/99,2,CISCO,237,32075.762008
06/17/99,1,JACK,166,48349.680388
06/17/99,1,OTHER,79,147985.61839
06/17/99,2,OTHER,51,22487.097353
