Date,CHINOOK,JACK,ALLCHINOOK,SCHUM,FCHUM,COHO,PINK,CISCO,BROAD,HUMPBACK,SHEEFISH,OTHER,ALLOTHER,TOTAL
5/31/2015,123,0,123,353,,0,0,1985,388,707,3446,227,6753,7229
6/1/2015,28,250,278,753,,0,0,1855,24,1644,2771,444,6738,7769
6/2/2015,131,125,256,784,,0,0,2158,44,409,2222,407,5240,6280
6/3/2015,151,0,151,2227,,0,0,2912,256,0,690,570,4428,6806
6/4/2015,314,0,314,825,,0,0,2599,981,891,1142,115,5728,6867
6/5/2015,779,0,779,1244,,0,0,1537,510,929,2354,176,5506,7529
6/7/2015,1504,0,1504,6004,,0,0,1185,1004,478,841,0,3508,11016
6/8/2015,1143,181,1324,13254,,0,0,1268,694,295,1584,0,3841,18419
6/9/2015,728,387,1115,16097,,0,0,326,713,310,1988,230,3567,20779
6/10/2015,1114,279,1393,12424,,0,0,1965,912,0,2223,514,5614,19431
6/15/2015,3603,0,3603,16759,,0,0,796,265,1715,2269,1222,6267,26629
6/25/2015,3258,1996,5254,77451,,0,0,4741,773,1039,306,1731,8590,91295
6/26/2015,1703,630,2333,44076,,0,0,4555,401,1822,0,1356,8134,54543
6/28/2015,4680,3989,8669,138314,,0,0,6794,1168,6459,419,0,14840,161823
6/30/2015,4751,2179,6930,94150,,0,0,6946,256,0,385,1044,8631,109711
7/1/2015,3663,2517,6180,41791,,0,0,7396,1992,1657,1144,0,12189,60160
7/3/2015,2224,740,2964,77580,,0,0,12990,357,0,0,3952,17299,97843
7/5/2015,1649,1483,3132,40897,,0,0,9774,493,698,1086,1933,13984,58013
7/6/2015,1527,875,2402,43199,,0,539,1678,374,4382,446,2247,9127,55267
7/7/2015,621,433,1054,21278,,0,0,8932,372,2612,440,2251,14607,36939
7/8/2015,593,336,929,19803,,0,0,10930,516,3170,519,2556,17691,38423
7/9/2015,746,155,901,14963,,0,940,8843,285,2877,333,642,12980,29784
7/10/2015,1354,344,1698,24255,,0,1109,12198,365,3982,427,753,17725,44787
7/13/2015,127,187,314,20154,,0,689,7680,237,11246,106,1966,21235,42392
7/14/2015,152,224,376,21151,,0,711,8014,284,11225,127,2080,21730,43968
7/15/2015,379,0,379,15054,,0,247,9126,1209,6491,141,258,17225,32905
7/16/2015,240,0,240,10998,,0,218,6096,975,3981,89,162,11303,22759
7/17/2015,475,143,618,5144,,0,952,2705,624,12403,237,1829,17798,24512
7/18/2015,511,115,626,4955,,0,926,2486,583,11975,230,1581,16855,23362
7/19/2015,0,0,0,,11888,0,1414,3481,307,6956,273,1162,12179,25481
7/20/2015,0,0,0,,61921,0,265,2332,528,4246,0,0,7106,69292
7/21/2015,0,0,0,,57071,0,1259,8971,180,5630,246,298,15325,73655
7/22/2015,0,0,0,,22162,0,477,3489,77,2155,93,113,5927,28566
