Date,CHINOOK,JACK,SCHUM,FCHUM,COHO,PINK,CISCO,BROAD,HUMPBACK,SHEEFISH,OTHER
6/6/2002,781,311,3946,,,,1306,,292,165,
6/7/2002,1519,570,2456,,,,805,,158,155,
6/8/2002,1437,607,2449,,,,737,,145,120,
6/9/2002,1464,135,5051,,,,933,,,246,
6/10/2002,704,527,2891,,,,857,,458,920,
6/11/2002,1234,685,2925,,,,1235,277,477,830,
6/12/2002,2737,375,3804,,,,,230,579,1366,
6/13/2002,873,349,3067,,,,2107,,1133,1070,105
6/14/2002,3077,612,16330,,,,,,,703,73
6/15/2002,8413,1515,58598,,,,,,,493,
6/16/2002,4630,2898,48517,,,,,,,450,
6/17/2002,2037,1524,21544,,,,412,,117,273,384
6/18/2002,4877,3469,46486,,,,,,664,604,112
6/19/2002,2703,2058,27644,,,,,,482,596,125
6/20/2002,584,984,24878,,,458,101,,306,241,119
6/21/2002,5667,1124,31988,,,1203,1197,,461,112,
6/22/2002,4429,1600,48885,,,323,454,,,84,
6/23/2002,6596,1216,88037,,,1018,885,240,,1234,321
6/24/2002,11363,1587,76617,,,258,1284,,,386,
6/25/2002,5631,1976,57053,,,7731,7658,,263,344,129
6/26/2002,8041,3114,81610,,,10569,10303,,357,519,219
6/27/2002,1322,1622,71524,,,6228,6018,,,,547
6/28/2002,577,597,46110,,,3237,1892,,462,,
6/29/2002,2065,1209,12005,,,5328,2659,70,242,305,787
6/30/2002,1157,658,7027,,,3157,1588,39,172,182,457
7/1/2002,2270,,40695,,,1891,3048,,,353,196
7/2/2002,1871,2175,55448,,,2121,833,,,104,
7/3/2002,3771,3661,28511,,,1254,428,,,356,136
7/4/2002,4063,2567,11998,,,7207,851,,150,54,100
7/5/2002,2750,,34092,,,1069,358,209,352,,257
7/6/2002,3499,,24372,,,2570,359,,,,130
7/7/2002,3110,48,11415,,,5173,682,,431,87,408
7/8/2002,352,26,14186,,,2963,746,59,568,,102
7/9/2002,43,38,14058,,,5287,247,43,216,70,636
7/10/2002,413,,15257,,,5405,222,53,891,51,54
7/11/2002,269,,15998,,,3249,2582,74,592,,242
7/12/2002,39,46,15970,,,3256,1472,203,812,108,325
7/13/2002,33,24,4589,,,5329,1283,52,566,76,130
7/14/2002,1733,,1948,,,4924,1791,1053,529,178,693
7/15/2002,1457,,5158,,,3189,1469,137,1539,91,179
7/16/2002,788,141,4560,,,4180,1886,253,1880,294,88
7/17/2002,,,2767,,,3796,2878,509,1825,33,644
7/18/2002,79,,5305,,,3155,1853,47,2940,39,144
7/19/2002,139,78,,9545,,4831,1189,229,4913,421,36
7/20/2002,,,,6445,,1889,4391,431,7650,,98
7/21/2002,,,,9353,,2338,318,416,7366,660,190
7/22/2002,231,,,4039,,926,3365,2299,9377,850,460
7/23/2002,58,,,2391,,587,4104,739,5891,194,533
7/24/2002,67,,,2558,,664,4496,817,6423,215,592
7/25/2002,63,,,2617,,610,4179,734,5960,195,535
7/26/2002,,87,,2832,,1202,5264,1310,4875,215,
7/27/2002,,89,,20476,,857,4622,402,3503,1116,
7/28/2002,,,,26125,132,297,6548,252,5308,141,316
7/29/2002,,,,13970,46,1861,4091,264,1643,50,436
7/30/2002,,,,23103,,,2455,123,2698,234,493
7/31/2002,,,,8199,,,4187,,3004,260,331
8/1/2002,64,,,1388,82,542,3845,145,3380,388,859
8/2/2002,56,,,871,72,275,3065,142,2933,258,524
8/3/2002,,,,6562,191,,2247,614,3532,103,1235
8/4/2002,,,,4322,947,144,5240,321,3162,,
8/5/2002,,,,3022,1588,,4966,385,2633,225,419
8/6/2002,,,,743,747,258,4383,456,2605,169,354
8/7/2002,,,,948,898,228,4278,403,2509,161,337
8/8/2002,,,,958,910,169,3509,302,1975,148,309
8/9/2002,,,,2646,1373,,2351,,2485,,780
8/10/2002,,57,,5356,2571,109,1084,385,2026,135,201
8/11/2002,,,,16628,2646,,6038,,116,,367
8/12/2002,,,,17669,5132,,4529,854,875,,179
8/13/2002,,,,11842,4151,235,2225,245,1040,,1045
8/14/2002,,,,12842,3628,,1310,,2077,,1217
8/15/2002,154,,,7091,6227,148,2506,,89,,560
8/16/2002,,64,,3802,4386,,1791,,547,,589
8/17/2002,,,,6358,2840,,1922,,662,,501
8/18/2002,,,,58354,3096,,496,155,246,480,282
8/19/2002,,,,34551,20160,,12044,,235,,2802
8/20/2002,,,,9780,11521,,3748,224,918,243,1003
8/21/2002,,,,7581,8099,,2911,190,521,206,570
8/22/2002,,,,2856,8395,,2353,,2704,,
8/23/2002,,,,1620,6277,,3495,,236,,434
8/24/2002,,,,4410,6628,,1460,126,259,,839
8/25/2002,,,,4571,4912,,2606,,,,
8/26/2002,,,,2929,7137,,1663,,281,,
8/27/2002,,,,1101,5058,,1173,81,1016,,713
8/28/2002,,,,867,3745,,904,50,803,,517
8/29/2002,,,,1052,4653,,1233,71,1090,,676
8/30/2002,,,,928,4717,,2752,,477,,145
8/31/2002,,,,2585,4112,,1475,113,698,,
