Date,CHINOOK,JACK,SCHUM,FCHUM,COHO,PINK,CISCO,BROAD,HUMPBACK,SHEEFISH,OTHER
6/12/1999,40,,,,,,717,134,946,643,806
6/13/1999,57,,,,,,640,191,930,722,672
6/14/1999,48,,,,,,571,161,759,594,606
6/15/1999,919,170,1049,,,,209,105,,462,126
6/16/1999,1174,186,1411,,,,283,142,,583,148
6/17/1999,963,166,1134,,,,237,119,,498,130
6/18/1999,875,75,3219,,,,,391,,325,67
6/19/1999,1556,149,5721,,,,,708,,476,132
6/20/1999,2322,249,12492,,,,736,,,761,650
6/21/1999,4846,109,29127,,,,,376,,384,
6/22/1999,4895,653,20740,,,,196,,,82,174
6/23/1999,11898,833,21311,,,,,,,82,69
6/24/1999,4586,743,62947,,,,352,,,537,452
6/25/1999,9025,2012,95360,,,,,,,,
6/26/1999,4804,1114,63275,,,,,,,,
6/27/1999,12830,1823,47953,,,,298,,,291,256
6/28/1999,24546,3389,79295,,,,296,,,548,254
6/29/1999,4740,970,61115,,,,1369,,,,325
6/30/1999,5525,1433,43634,,,,328,178,,252,
7/1/1999,6160,744,52611,,,,542,,,239,240
7/2/1999,6452,2529,39052,,,,,,,170,
7/3/1999,6530,2283,36115,,,,,,,138,
7/4/1999,5902,,54398,,,,1616,,,154,
7/5/1999,10552,917,37839,,,,181,1194,,,
7/6/1999,6449,520,21884,,,,108,663,,,
7/7/1999,3251,1008,9660,,,,,101,,874,85
7/8/1999,2306,203,15562,,,,635,,,130,
7/9/1999,1091,,39261,,,,2034,243,160,,
7/10/1999,2649,106,30802,,,,202,,,188,
7/11/1999,1211,1135,20016,,,,972,216,,,
7/12/1999,2646,613,10483,,,,250,,,79,94
7/13/1999,293,,16295,,,,1018,73,521,,
7/14/1999,1019,69,9994,,,,3029,306,201,263,61
7/15/1999,278,,9696,,,,1659,339,727,,
7/16/1999,251,,4548,,,,5865,,1593,154,303
7/17/1999,197,,3462,,,,4205,,1204,116,255
7/18/1999,,212,7998,,,,1717,107,2411,,96
7/19/1999,,,,10515,,,2108,437,2279,336,275
7/20/1999,778,,,23805,,,,,559,,239
7/21/1999,206,,,16141,,,2754,162,1390,73,169
7/22/1999,,,,7400,,485,1397,304,5219,118,
7/23/1999,,,,29522,,1459,238,,,,319
7/24/1999,416,,,34752,,,2615,,1290,,65
7/25/1999,,,,25200,,,5237,,1796,132,
7/26/1999,2833,,,6058,,415,2352,,4172,,692
7/27/1999,110,,,4397,,192,1788,270,4966,133,186
7/28/1999,69,,,4197,,121,1937,339,5174,167,117
7/29/1999,675,,,7255,,,1782,,3401,,574
7/30/1999,,,,6553,,519,2888,341,1632,,722
7/31/1999,,,,5487,,405,2245,266,1253,,555
8/1/1999,,,,20833,,,1750,898,1219,,563
8/2/1999,1710,,,36225,,,4085,,5218,94,
8/3/1999,,,,18125,85,,3570,,7115,,769
8/4/1999,,,,14274,65,,2595,,5241,,558
8/5/1999,,,,11502,,,1646,322,3299,,1069
8/6/1999,,,,6100,322,,1735,466,3655,,793
8/7/1999,,,,6276,193,,643,,3271,,
8/8/1999,,,,5654,793,,709,591,2751,,325
8/9/1999,,,,6453,927,,758,665,3198,,405
8/10/1999,,,,2143,790,56,2573,537,3348,22,125
8/11/1999,,,,1775,634,53,2048,390,2705,21,118
8/12/1999,,,,1661,649,68,2078,331,2546,27,151
8/13/1999,,,,326,1267,,610,,2845,305,
8/14/1999,,,,12082,681,,1931,,3632,,
8/15/1999,,,,11245,931,,9298,136,3265,210,
8/16/1999,,,,7360,5013,,1563,,2982,,114
8/17/1999,,,,6149,5095,,2154,,1024,,
8/18/1999,,,,4166,3157,,3739,,2151,,
8/19/1999,,,,1314,1374,,6311,64,1837,,
8/20/1999,,,,1071,1707,,5346,298,4144,,361
8/21/1999,,,,4745,1767,,2984,358,4669,,498
8/22/1999,,,,27703,1651,,7591,292,1596,,596
8/23/1999,,,,28952,5239,,7196,,2013,,
8/24/1999,122,,,13223,7843,,8818,,830,,
8/25/1999,,,,6815,7206,,5691,,1175,,
8/26/1999,,,,1750,3244,,8399,,504,,152
8/27/1999,,,,3507,5601,,2268,,995,,151
8/28/1999,,,,1734,5203,,3788,,1150,,384
8/29/1999,,,,2258,6575,,2295,,1292,,
8/30/1999,,,,3656,4279,174,3402,,648,,729
8/31/1999,,,,1146,3883,,5197,,1356,,695
