"Year","Strata","SortID","grpID","GroupName","mean","LCI.m","UCI.m","p","LCI.p","UCI.p"
2019,1,1,4,"Lower Summer",71278.7814243715,55604.5366782615,86262.9909937451,0.803593928121437,0.745247148288973,0.859315589353612
2019,1,2,7,"UpperKoy+Main",16210.4877902442,10526.1412810979,22400.7702652739,0.182756344873103,0.129277566539924,0.23574144486692
2019,1,3,8,"Tanana Summer",788.527229455411,0,2218.49282537844,0.00888982220355593,0,0.0228136882129278
2019,1,4,10,"Tanana Fall",120.629587408252,0,738.561482939356,0.00135997280054399,0,0.00760456273764259
2019,1,5,11,"Border US",116.194676106478,0,735.953903178328,0.00130997380052399,0,0.00760456273764259
2019,1,6,12,"Border CA",137.482250354993,0,745.909276522343,0.00154996900061999,0,0.00760456273764259
2019,1,7,13,"Porcupine CA",64.7497050058999,0,675.080862586218,0.000729985400291994,0,0.00760456273764259
2019,1,8,14,"Mainstem CA",72.732545349093,0,677.475741875978,0.000819983600327993,0,0.00760456273764259
2019,1,9,1,"Upper Canada",47.8970420591588,0,627.376120023453,0.000539989200215996,0,0.00760456273764259
2019,1,10,3,"     White",31.9313613727725,0,0,0.000359992800143997,0,0
2019,1,11,6,"     Teslin",15.9656806863863,0,0,0.000179996400071999,0,0
2019,1,12,2,"Total Summer",88277.7964440711,69582.2663682238,105611.699254024,0.995240095198096,0.980988593155893,0.996197718631179
2019,1,13,5,"Total Middle",16999.0150196996,11139.5966120353,23371.610357944,0.191646167076658,0.136882129277567,0.250950570342205
2019,1,14,9,"Total Fall",422.203555928881,0,1475.44214949536,0.00475990480190396,0,0.0152091254752852
2019,1,15,15,"Fall US",236.82426351473,0,988.131391868018,0.00266994660106798,0,0.0152091254752852
2019,1,16,16,"Mainstem + Upper CA",120.629587408252,0,730.03180640539,0.00135997280054399,0,0.00760456273764259
2019,1,17,17,"Border US + Canada",301.57396852063,0,1303.08213321962,0.00339993200135997,0,0.0152091254752852
2019,1,18,18,"Total USA",88514.6207075858,69778.0995167438,105972.680663308,0.997910041799164,0.988593155893536,0.996197718631179
2019,1,19,19,"Total Canada",185.379292414152,0,784.566364947546,0.00208995820083598,0,0.00760456273764259
2019,1,20,20,"Toklat",,,,,,
2019,1,21,21,"Upper Tanana",,,,,,
2019,1,22,22,"Border US+Border CA",,,,,,
2019,1,23,23,"Lower Summer  + Koy-Main",87489.2692146157,68849.5649428,104680.054083775,0.98635027299454,0.965779467680608,0.996197718631179
2019,2,1,4,"Lower Summer",762559.376187524,676066.435673569,850124.11072994,0.710514210284206,0.645833333333333,0.770833333333333
2019,2,2,7,"UpperKoy+Main",218646.862937259,158572.356044117,281880.237014903,0.20372407448149,0.152777777777778,0.256944444444444
2019,2,3,8,"Tanana Summer",81633.0276605532,44402.1403839413,123072.545683707,0.0760615212304246,0.0416666666666667,0.111111111111111
2019,2,4,10,"Tanana Fall",4700.92901858037,0,15391.8042619667,0.00438008760175204,0,0.0138888888888889
2019,2,5,11,"Border US",3176.88353767075,0,14555.0938369026,0.00296005920118402,0,0.0138888888888889
2019,2,6,12,"Border CA",2007.01764035281,0,7940.84695763163,0.00187003740074802,0,0.00694444444444444
2019,2,7,13,"Porcupine CA",976.677033540671,0,7564.46837848297,0.000910018200364007,0,0.00694444444444444
2019,2,8,14,"Mainstem CA",1030.34060681214,0,7583.22868760056,0.000960019200384008,0,0.00694444444444444
2019,2,9,1,"Upper Canada",525.903018060361,0,7208.28813370759,0.000490009800196004,0,0.00694444444444444
2019,2,10,3,"     White",332.714154283086,0,0,0.000310006200124003,0,0
2019,2,11,6,"     Teslin",193.188863777276,0,0,0.000180003600072001,0,0
2019,2,12,2,"Total Summer",1062839.26678534,981368.000391703,1143110.94765954,0.99029980599612,0.972222222222222,1
2019,2,13,5,"Total Middle",300279.890597812,231764.115063844,370947.894273668,0.279785595711914,0.222222222222222,0.340277777777778
