"Year","Strata","SortID","grpID","GroupName","mean","LCI.m","UCI.m","p","LCI.p","UCI.p"
2020,1,1,4,"Lower Summer",249400.17018,221748.61966313,277087.882255957,0.94054,0.909722222222222,0.972222222222222
2020,1,2,7,"UpperKoy+Main",10145.28942,3587.20925919357,17681.4137007021,0.03826,0.0138888888888889,0.0694444444444444
2020,1,3,8,"Tanana Summer",3635.43957,0,8308.11781781947,0.01371,0,0.0281249999999949
2020,1,4,10,"Tanana Fall",575.41239,0,2038.14446557789,0.00217,0,0.00694444444444444
2020,1,5,11,"Border US",755.72595,0,3519.47116894594,0.00285,0,0.0138888888888889
2020,1,6,12,"Border CA",525.03066,0,2000.38384918651,0.00198,0,0.00694444444444444
2020,1,7,13,"Porcupine CA",344.7171,0,1916.02552610866,0.0013,0,0.00694444444444444
2020,1,8,14,"Mainstem CA",180.31356,0,1834.99938249195,0.00068,0,0.00694444444444444
2020,1,9,1,"Upper Canada",129.93183,0,1778.30047799486,0.00049,0,0.00694444444444444
2020,1,10,3,"     White",79.5501,0,0,0.0003,0,0
2020,1,11,6,"     Teslin",50.38173,0,0,0.00019,0,0
2020,1,12,2,"Total Summer",263180.89917,235321.056781093,291376.595037199,0.99251,0.979166666666667,1
2020,1,13,5,"Total Middle",13780.72899,5773.25538177137,22451.5876431607,0.05197,0.0208333333333333,0.0833333333333333
2020,1,14,9,"Total Fall",1986.10083,0,5652.81781860583,0.00749,0,0.0208333333333333
2020,1,15,15,"Fall US",1331.13834,0,3974.39840662989,0.00502,0,0.0138888888888889
2020,1,16,16,"Mainstem + Upper CA",310.24539,0,1915.51752887582,0.00117,0,0.00694444444444444
2020,1,17,17,"Border US + Canada",1410.68844,0,4057.51112120052,0.00532,0,0.0138888888888889
2020,1,18,18,"Total USA",264512.03751,236666.393283662,292649.2906606,0.99753,0.986111111111111,1
2020,1,19,19,"Total Canada",654.96249,0,3102.50238599059,0.00247,0,0.0138888888888889
2020,1,20,20,"Toklat",,,,,,
2020,1,21,21,"Upper Tanana",,,,,,
2020,1,22,22,"Border US+Border CA",,,,,,
2020,1,23,23,"Lower Summer  + Koy-Main",259545.4596,231875.868358864,287551.507493513,0.9788,0.958333333333333,0.993055555555556
2020,2,1,4,"Lower Summer",218986.2526,198915.585539333,239527.294204779,0.8083,0.756944444444444,0.861111111111111
2020,2,2,7,"UpperKoy+Main",34092.82448,22079.9040656908,46916.6403259045,0.12584,0.0833333333333333,0.173611111111111
2020,2,3,8,"Tanana Summer",16894.69592,8554.05616145405,26439.9139454542,0.06236,0.0347222222222222,0.0972222222222222
2020,2,4,10,"Tanana Fall",306.14186,0,1924.27074537964,0.00113,0,0.00694444444444444
2020,2,5,11,"Border US",241.12058,0,1911.5910620749,0.00089,0,0.00694444444444444
2020,2,6,12,"Border CA",265.50356,0,1908.50983193082,0.00098,0,0.00694444444444444
2020,2,7,13,"Porcupine CA",46.05674,0,0,0.00017,0,0
2020,2,8,14,"Mainstem CA",219.44682,0,1892.16116976118,0.00081,0,0.00694444444444444
2020,2,9,1,"Upper Canada",135.461,0,1829.56108841319,0.0005,0,0.00694444444444444
2020,2,10,3,"     White",83.98582,0,0,0.00031,0,0
2020,2,11,6,"     Teslin",51.47518,0,0,0.00019,0,0
2020,2,12,2,"Total Summer",269973.773,252320.420654865,287630.81535954,0.9965,0.986111111111111,1
2020,2,13,5,"Total Middle",50987.5204,36627.8174556548,65987.8476784894,0.1882,0.138888888888889,0.243055555555556
2020,2,14,9,"Total Fall",948.227,0,3784.05781654727,0.0035,0,0.0138888888888889
2020,2,15,15,"Fall US",547.26244,0,1988.95422473961,0.00202,0,0.00694444444444444
2020,2,16,16,"Mainstem + Upper CA",354.90782,0,1934.50866196687,0.00131,0,0.00694444444444444
2020,2,17,17,"Border US + Canada",642.08514,0,2042.28302987138,0.00237,0,0.00694444444444444
2020,2,18,18,"Total USA",270521.03544,252830.659389204,288140.401547248,0.99852,0.993055555555556,1
2020,2,19,19,"Total Canada",400.96456,0,1946.36942507357,0.00148,0,0.00694444444444444
2020,2,20,20,"Toklat",,,,,,
2020,2,21,21,"Upper Tanana",,,,,,
2020,2,22,22,"Border US+Border CA",,,,,,
2020,2,23,23,"Lower Summer  + Koy-Main",253079.07708,234199.392566187,271946.052775143,0.93414,0.895833333333333,0.965277777777778
2020,3,1,4,"Lower Summer",124601.61978,108738.584876734,140782.898945529,0.80439,0.75,0.854166666666667
2020,3,2,7,"UpperKoy+Main",20965.9857,13707.6802346756,28835.0278204263,0.13535,0.0902777777777778,0.180555555555556
2020,3,3,8,"Tanana Summer",5853.74658,2138.93096287728,10151.3083766186,0.03779,0.0138888888888889,0.0625
2020,3,4,10,"Tanana Fall",399.64716,0,1902.8070875921,0.00258,0,0.0138888888888889
2020,3,5,11,"Border US",1381.72584,0,3509.58343158122,0.00892,0,0.0208333333333333
2020,3,6,12,"Border CA",1445.23566,0,3605.75009863927,0.00933,0,0.0208333333333333
2020,3,7,13,"Porcupine CA",334.58832,0,1196.8202317825,0.00216,0,0.00694444444444444
2020,3,8,14,"Mainstem CA",1110.64734,0,3259.31600849466,0.00717,0,0.0208333333333333
2020,3,9,1,"Upper Canada",254.03928,0,1155.041303008,0.00164,0,0.00694444444444444
2020,3,10,3,"     White",58.86276,0,974.302623097276,0.00038,0,0.00694444444444444
2020,3,11,6,"     Teslin",195.17652,0,1126.43599669834,0.00126,0,0.00694444444444444
2020,3,12,2,"Total Summer",151421.35206,134517.020849151,168231.330607178,0.97753,0.958333333333333,0.993055555555556
2020,3,13,5,"Total Middle",26819.73228,18801.5451076897,35638.1021176719,0.17314,0.125,0.222222222222222
2020,3,14,9,"Total Fall",3480.64794,979.55523301915,6792.47655393525,0.02247,0.00694444444444444,0.0416666666666667
2020,3,15,15,"Fall US",1781.373,0,4375.81010740176,0.0115,0,0.0277777777777778
2020,3,16,16,"Mainstem + Upper CA",1364.68662,0,3473.33897520186,0.00881,0,0.0208333333333333
2020,3,17,17,"Border US + Canada",3081.00078,0,6251.25801080106,0.01989,0,0.0416666666666667
2020,3,18,18,"Total USA",153202.72506,136255.311818427,170122.166026649,0.98903,0.972222222222222,1
2020,3,19,19,"Total Canada",1699.27494,0,4299.82829248514,0.01097,0,0.0277777777777778
2020,3,20,20,"Toklat",,,,,,
2020,3,21,21,"Upper Tanana",,,,,,
