"group","stbreak","Min","Max","Mean","GroupName","SortID"
"10",3,0.100030009002701,8.22719441688369,0.931614765007489,"Tanana Fall",4
"10",1,0.100132251507734,0.671940839556604,0.221055525066016,"Tanana Fall",4
"10",4,0.00559847928111927,15.4517533330662,1.7292392261324,"Tanana Fall",4
"10",2,0.100108320475757,5.25305586422871,0.754035670352708,"Tanana Fall",4
"10",5,0.0748481422072629,24.1466915149223,4.12971079345823,"Tanana Fall",4
"10",6,0.6,29.9641729664503,11.3029196674855,"Tanana Fall",4
"10",7,12.374706105846,34.2973429734297,22.0385528038985,"Tanana Fall",4
"10",8,19.0341016101528,58.1088259580285,36.2488459266975,"Tanana Fall",4
"10",9,39.8166185024903,70.2572974270257,55.5982515254451,"Tanana Fall",4
"11",5,7.19215764729419,47.9294792947929,24.126972104617,"Border US",5
"11",1,0.100132251507734,0.501002004008016,0.199269951021695,"Border US",5
"11",2,0.0899991000089999,1.382,0.355924139804232,"Border US",5
"11",6,12.1696990602453,53.27,33.6380722637356,"Border US",5
"11",7,20.548559314134,49.5135863190985,33.0412116157616,"Border US",5
"11",3,0.089,2.5559744402556,0.707577913131669,"Border US",5
"11",8,19.702827361393,35.1336565166437,28.2544711878148,"Border US",5
"11",4,0.1749982500175,24.4673402020606,4.18495690675311,"Border US",5
"11",9,10.7236861512947,33.4300290087026,16.8203013418952,"Border US",5
"19",7,26.6058456701996,40.4422461487039,34.3281792361813,"Total Canada",19
"19",5,5.43162948884665,25.2437646597093,12.9572841146722,"Total Canada",19
"19",3,0.148,1.1920119201192,0.439488240013422,"Total Canada",19
"19",1,0.100200400801603,0.358064967185979,0.216044621720333,"Total Canada",19
"19",4,0.241,14.1542462738822,3.29389487998353,"Total Canada",19
"19",2,0.107439670574574,0.417996367350417,0.262725763749263,"Total Canada",19
"19",8,15.3057240662612,46.5912472431839,30.1724197583507,"Total Canada",19
"19",6,12.9077728439561,40.365,29.569960369416,"Total Canada",19
"19",9,12.16989776362,36.7434470195777,23.0856535970791,"Total Canada",19
"2",1,98.9021276150358,99.6347732468688,99.363629902192,"Total Summer",12
"2",4,60.8782634790437,98.880011199888,90.7248275231364,"Total Summer",12
"2",2,94.7469441357713,99.4851504572644,98.671503704919,"Total Summer",12
"2",8,1.37960113623327,12.987012987013,5.32426312713696,"Total Summer",12
"2",6,7.68923107689231,68.8820713124453,24.0710478623049,"Total Summer",12
"2",9,0.791007910079101,9.26690733092669,4.4957935355806,"Total Summer",12
"2",7,2.67683837032045,34.3645830567365,11.1480649844553,"Total Summer",12
"2",5,23.0336757540423,86.4559367810343,54.3893430358788,"Total Summer",12
"2",3,84.2915708429157,99.65,97.2316004380321,"Total Summer",12
"7",1,3.826,30.1713017130171,16.1214186128789,"UppKoy+Main",2
"7",6,1.3,13,7.21219603683162,"UppKoy+Main",2
"7",2,1.1141279237675,29.2820650979377,14.4218786991589,"UppKoy+Main",2
"7",7,0.886743257623386,8.13061508312029,3.45886016427435,"UppKoy+Main",2
"7",3,5.62238729715922,32.3271409303408,18.1523510701121,"UppKoy+Main",2
"7",4,4.22553789625538,32.7327327327327,15.9503469283464,"UppKoy+Main",2
"7",8,0.615151675675031,7.69230769230769,2.24441978267233,"UppKoy+Main",2
"7",9,0.213,6.2,1.79436394729163,"UppKoy+Main",2
"7",5,7.171,30.8,15.7682288173784,"UppKoy+Main",2
"8",1,0.144945444468354,4.2131036213792,1.29608698390799,"Tanana Summer",3
"8",2,0.400963515185918,6.66201074368273,2.88250850335005,"Tanana Summer",3
"8",3,0.914300621194077,10.8288691858247,5.76128000896013,"Tanana Summer",3
"8",4,0.257,16.4028012116004,8.97392051231504,"Tanana Summer",3
"8",5,1.93783860332425,35.1561386691591,14.085160842366,"Tanana Summer",3
"8",8,0.0842982074875541,2.67834511559423,0.509767920737126,"Tanana Summer",3
"8",6,0.150060024009604,13.7856381463162,4.96404353903364,"Tanana Summer",3
"8",9,0.0580005800058001,4.25607206414313,0.58484810138075,"Tanana Summer",3
"8",7,0.166385729496727,4.29235072244742,1.49555918627012,"Tanana Summer",3
