"Year","Strata","SortID","grpID","GroupName","mean","LCI.m","UCI.m","p","LCI.p","UCI.p"
2017,1,1,4,"Lower Summer",620630.27152,539471.078355153,703356.833785948,0.72632,0.666666666666667,0.784722222222222
2017,1,2,7,"UpperKoy+Main",193344.54722,141575.688282559,247579.472434799,0.22627,0.166666666666667,0.284722222222222
2017,1,3,8,"Tanana Summer",35597.88676,12662.0534676039,61100.3287157448,0.04166,0.0138888888888889,0.0694444444444444
2017,1,4,10,"Tanana Fall",1862.77948,0,6571.58225512136,0.00218,0,0.00694444444444444
2017,1,5,11,"Border US",1170.64582,0,6241.97882308023,0.00137,0,0.00694444444444444
2017,1,6,12,"Border CA",1247.54956,0,6261.96541963758,0.00146,0,0.00694444444444444
2017,1,7,13,"Porcupine CA",239.25608,0,0,0.00028,0,0
2017,1,8,14,"Mainstem CA",1008.29348,0,6182.63066444248,0.00118,0,0.00694444444444444
2017,1,9,1,"Upper Canada",632.31964,0,5947.64751945615,0.00074,0,0.00694444444444444
2017,1,10,3,"     White",299.0701,0,5100.61176737022,0.00035,0,0.00694444444444444
2017,1,11,6,"     Teslin",333.24954,0,5263.54184082213,0.00039,0,0.00694444444444444
2017,1,12,2,"Total Summer",849572.7055,763914.351476946,936421.007008119,0.99425,0.986111111111111,1
2017,1,13,5,"Total Middle",228942.43398,173803.286766743,286969.691191804,0.26793,0.208333333333333,0.326388888888889
2017,1,14,9,"Total Fall",4913.2945,0,13932.5789063493,0.00575,0,0.0138888888888889
2017,1,15,15,"Fall US",3033.4253,0,11923.1117812899,0.00355,0,0.0138888888888889
2017,1,16,16,"Mainstem + Upper CA",1640.61312,0,6407.52401677923,0.00192,0,0.00694444444444444
2017,1,17,17,"Border US + Canada",3050.51502,0,11961.0432669975,0.00357,0,0.0138888888888889
2017,1,18,18,"Total USA",852606.1308,766643.32398274,939031.425474352,0.9978,0.993055555555555,1
2017,1,19,19,"Total Canada",1879.8692,0,6570.45125927907,0.0022,0,0.00694444444444444
2017,1,20,20,"Toklat",,,,,,
2017,1,21,21,"Upper Tanana",,,,,,
2017,1,22,22,"Border US+Border CA",,,,,,
2017,1,23,23,"Lower Summer  + Koy-Main",813974.81874,729217.389172344,899562.732827593,0.95259,0.923611111111111,0.979166666666667
2017,2,1,4,"Lower Summer",1058742.68241318,966545.839095239,1153313.1470017,0.907330926690733,0.868055555555556,0.944444444444444
2017,2,2,7,"UpperKoy+Main",59090.0097399026,24719.1787112151,96450.0326441636,0.0506394936050639,0.0208333333333333,0.0833333333333333
2017,2,3,8,"Tanana Summer",43162.3116168838,15845.5347853626,75103.3869590811,0.036989630103699,0.0138888888888889,0.0625
2017,2,4,10,"Tanana Fall",1528.59227407726,0,8401.79625280419,0.001309986900131,0,0.00694444444444444
2017,2,5,11,"Border US",1773.63378366216,0,8493.25586041044,0.001519984800152,0,0.00694444444444444
2017,2,6,12,"Border CA",1878.65157348427,0,8498.99004386447,0.001609983900161,0,0.00694444444444444
2017,2,7,13,"Porcupine CA",315.053369466305,0,0,0.000269997300027,0,0
2017,2,8,14,"Mainstem CA",1563.59820401796,0,8412.37976475845,0.001339986600134,0,0.00694444444444444
2017,2,9,1,"Upper Canada",700.118598814012,0,8057.38325426735,0.000599994000059999,0,0.00694444444444444
