"Year","stbreak","Run","Summer","Fall"
1999,3,124206,96.7777777777778,3.22222222222222
1999,4,113294,98.5490744169986,1.45092558300143
1999,5,157790,34.6439310385775,65.3560689614225
1999,6,124451,10.6019502267498,89.3980497732502
2000,3,58019,84.2915708429157,15.7084291570843
2000,4,66350,77.2095816092394,22.7904183907606
2000,5,38029,23.0336757540423,76.9663242459577
2000,6,73422,7.68923107689231,92.3107689231077
2001,3,173777,98.5976831226227,1.40231687737733
2001,4,48776,89.2025149663769,10.7974850336231
2001,5,155986,26.9054092785069,73.0945907214931
2001,6,90066,10.6801503341994,89.3198496658006
2001,7,14472,10.12,89.88
2002,2,117634,94.7469441357713,5.25305586422871
2002,3,253807,89.480144797101,10.519855202899
2002,4,71552,80.1637390448587,19.8362609551413
2002,5,60256,33.7352489378651,66.2647510621349
2002,6,87562,12.1120839188323,87.8879160811677
2002,7,2649,17.6882311768823,82.3117688231177
2004,5,79144,43.2372949179672,56.7627050820328
2004,6,145879,13.0497520130352,86.9502479869648
2004,7,148049,10.3078865179064,89.6921134820936
2004,8,107309,11.1089385528673,88.8910614471327
2004,9,152987,3.50366396758071,96.4963360324193
2005,3,747897,98.6397279455891,1.36027205441088
2005,4,536172,60.8782634790437,39.1217365209563
2005,5,270474,39.4618975028267,60.5381024971733
2005,6,230344,25.3904337869624,74.6095662130376
2005,7,900993,2.67683837032045,97.3231616296795
2005,8,253858,4.9814944483345,95.0185055516655
2005,9,238019,4.9814944483345,95.0185055516655
2006,3,749640,98.5660382039307,1.43396179606928
2006,4,271847,88.8566569970991,11.1433430029009
2006,5,196824,55.2932356040774,44.7067643959226
2006,6,365000,11.4545818327331,88.5454181672669
2006,7,117231,14.408816200377,85.591183799623
2006,8,231587,3.19960667541931,96.8003933245807
2006,9,53596,1.49044713414024,98.5095528658598
2007,3,525420,99.4098229468841,0.590177053115935
2007,4,283610,95.9387816344903,4.06121836550965
2007,5,60412,86.4559367810343,13.5440632189657
2007,6,75108,68.8820713124453,31.1179286875547
2007,7,313556,12.3375198874352,87.6624801125648
2007,8,202092,6.00736266824325,93.9926373317568
2007,9,89027,2.17065119535861,97.8293488046414
2008,1,211411,99.6347732468688,0.365226753131164
2008,2,377416,99.3320903777943,0.667909622205649
2008,3,933717,98.6420224517467,1.3579775482533
2008,4,327009,93.0286803948905,6.9713196051095
2008,5,64817,73,27
2008,6,176394,15.3153153153153,84.6846846846847
2008,7,66475,13.7,86.3
2008,8,179202,4.47944889007935,95.5205511099206
2008,9,149637,7.6004906495568,92.3995093504432
2009,1,145707,98.9021276150358,1.0978723849642
2009,2,552718,99.4851504572644,0.514849542735632
2009,3,616555,98.9927336571758,1.00726634282424
2009,4,162206,96.2950421069504,3.70495789304958
2009,5,26477,85.8141858141858,14.1858141858142
2009,6,47387,44.7,55.3
2009,7,126685,12.1121121121121,87.8878878878879
2009,8,44338,12.987012987013,87.012987012987
2009,9,29340,6.4128256513026,93.5871743486974
2010,1,276790,99.5279952799528,0.472004720047201
2010,2,466575,99.4260057399426,0.573994260057399
2010,3,583029,98.4975583645084,1.50244163549155
