"Year","Strata","SortID","grpID","GroupName","mean","LCI.m","UCI.m","p","LCI.p","UCI.p"
1999,1,1,4,"Lower Summer",161375.663838384,146258.030295078,176996.078819351,0.922020202020202,0.88,0.96
1999,1,2,7,"UpperKoy+Main",,,,,,
1999,1,3,8,"Tanana Summer",,,,,,
1999,1,4,10,"Tanana Fall",0,0,0,0,0,0
1999,1,5,11,"Border US",,,,,,
1999,1,6,12,"Border CA",,,,,,
1999,1,7,13,"Porcupine CA",,,,,,
1999,1,8,14,"Mainstem CA",,,,,,
1999,1,9,1,"Upper Canada",0,0,0,0,0,0
1999,1,10,3,"     White",0,0,0,0,0,0
1999,1,11,6,"     Teslin",0,0,0,0,0,0
1999,1,12,2,"Total Summer",169384.337777778,154738.976328781,184358.81701454,0.967777777777778,0.94,0.99
1999,1,13,5,"Total Middle",8008.67393939394,1833.43636703642,14449.5811243022,0.0457575757575758,0.01,0.08
1999,1,14,9,"Total Fall",5639.66222222222,1623.39584973156,11093.6547081809,0.0322222222222222,0.01,0.06
1999,1,15,15,"Fall US",,,,,,
1999,1,16,16,"Mainstem + Upper CA",,,,,,
1999,1,17,17,"Border US + Canada",5639.66222222222,1623.39584973156,11093.6547081809,0.0322222222222222,0.01,0.06
1999,1,18,18,"Total USA",,,,,,
1999,1,19,19,"Total Canada",,,,,,
1999,1,20,20,"Toklat",0,0,0,0,0,0
1999,1,21,21,"Upper Tanana",0,0,0,0,0,0
1999,1,22,22,"Border US+Border CA",5639.66222222222,1623.39584973156,11093.6547081809,0.0322222222222222,0.01,0.06
1999,1,23,23,"Lower Summer  + Koy-Main",,,,,,
1999,2,1,4,"Lower Summer",54699.7993908629,45007.2789357492,64785.5250518216,0.875532994923858,0.82,0.93
1999,2,2,7,"UpperKoy+Main",,,,,,
1999,2,3,8,"Tanana Summer",,,,,,
1999,2,4,10,"Tanana Fall",6.34274111675127,0,0,0.000101522842639594,0,0
1999,2,5,11,"Border US",,,,,,
1999,2,6,12,"Border CA",,,,,,
1999,2,7,13,"Porcupine CA",,,,,,
1999,2,8,14,"Mainstem CA",,,,,,
1999,2,9,1,"Upper Canada",0,0,0,0,0,0
1999,2,10,3,"     White",0,0,0,0,0,0
1999,2,11,6,"     Teslin",0,0,0,0,0,0
1999,2,12,2,"Total Summer",62469.6572588832,51969.5723070176,73308.9675168719,0.99989847715736,1,1
1999,2,13,5,"Total Middle",7769.8578680203,4353.18744339009,11692.3554080514,0.124365482233503,0.07,0.18
1999,2,14,9,"Total Fall",6.34274111675127,0,0,0.000101522842639594,0,0
1999,2,15,15,"Fall US",,,,,,
1999,2,16,16,"Mainstem + Upper CA",,,,,,
1999,2,17,17,"Border US + Canada",0,0,0,0,0,0
1999,2,18,18,"Total USA",,,,,,
1999,2,19,19,"Total Canada",,,,,,
1999,2,20,20,"Toklat",6.34274111675127,0,0,0.000101522842639594,0,0
1999,2,21,21,"Upper Tanana",0,0,0,0,0,0
1999,2,22,22,"Border US+Border CA",0,0,0,0,0,0
1999,2,23,23,"Lower Summer  + Koy-Main",,,,,,
1999,3,1,4,"Lower Summer",48929.9535,37179.0139700545,60803.0455562306,0.3321,0.25,0.41
1999,3,2,7,"UpperKoy+Main",,,,,,
1999,3,3,8,"Tanana Summer",,,,,,
1999,3,4,10,"Tanana Fall",36406.4785,26038.2696980658,47359.2502014302,0.2471,0.18,0.32
1999,3,5,11,"Border US",,,,,,
1999,3,6,12,"Border CA",,,,,,
1999,3,7,13,"Porcupine CA",,,,,,
1999,3,8,14,"Mainstem CA",,,,,,
1999,3,9,1,"Upper Canada",73.6675,0,1381.30690325669,0.0005,0,0.01
1999,3,10,3,"     White",73.6675,0,1381.30690325669,0.0005,0,0.01
1999,3,11,6,"     Teslin",0,0,0,0,0,0
1999,3,12,2,"Total Summer",51552.5165,39666.3972137023,63633.3095757226,0.3499,0.27,0.43
1999,3,13,5,"Total Middle",2622.563,0,6039.56466906214,0.0178,0,0.04
1999,3,14,9,"Total Fall",95782.4835,83041.8201057853,108903.141142235,0.6501,0.57,0.73
1999,3,15,15,"Fall US",,,,,,
1999,3,16,16,"Mainstem + Upper CA",,,,,,
1999,3,17,17,"Border US + Canada",59376.005,47162.8209439529,72120.143179013,0.403,0.32,0.48
1999,3,18,18,"Total USA",,,,,,
1999,3,19,19,"Total Canada",,,,,,
1999,3,20,20,"Toklat",0,0,0,0,0,0
1999,3,21,21,"Upper Tanana",36406.4785,26038.2696980658,47359.2502014302,0.2471,0.18,0.32
1999,3,22,22,"Border US+Border CA",59302.3375,47005.4348522451,72077.0314312165,0.4025,0.32,0.48
1999,3,23,23,"Lower Summer  + Koy-Main",,,,,,
1999,4,1,4,"Lower Summer",7684.86551344866,3934.27831289496,12131.8531258761,0.14028597140286,0.0709219858156028,0.212765957446809
1999,4,2,7,"UpperKoy+Main",,,,,,
1999,4,3,8,"Tanana Summer",,,,,,
1999,4,4,10,"Tanana Fall",8878.9501049895,4799.06265729358,13586.4434272632,0.162083791620838,0.0851063829787234,0.24113475177305
1999,4,5,11,"Border US",,,,,,
1999,4,6,12,"Border CA",,,,,,
1999,4,7,13,"Porcupine CA",,,,,,
1999,4,8,14,"Mainstem CA",,,,,,
1999,4,9,1,"Upper Canada",5608.91110888911,2378.24495154692,9235.43399923879,0.102389761023898,0.0425531914893617,0.156028368794326
1999,4,10,3,"     White",5603.43365663434,2374.59702207341,9231.1471696048,0.102289771022898,0.0425531914893617,0.156028368794326
1999,4,11,6,"     Teslin",5.47745225477452,0,0,0.0000999900009999,0,0
1999,4,12,2,"Total Summer",16306.3753624638,10459.3823649974,22886.5537997621,0.297670232976702,0.212765957446808,0.382978723404255
1999,4,13,5,"Total Middle",8621.5098490151,4562.46172420233,13308.4118612903,0.157384261573843,0.0851063829787234,0.226950354609929
1999,4,14,9,"Total Fall",38473.6246375362,28371.8440579487,48275.9192319171,0.702329767023298,0.609929078014184,0.780141843971631
1999,4,15,15,"Fall US",,,,,,
1999,4,16,16,"Mainstem + Upper CA",,,,,,
1999,4,17,17,"Border US + Canada",29594.6745325467,21158.0048743844,38372.0323771821,0.54024597540246,0.439716312056738,0.638297872340425
1999,4,18,18,"Total USA",,,,,,
1999,4,19,19,"Total Canada",,,,,,
1999,4,20,20,"Toklat",7082.34576542346,3440.68295360967,11278.1143534207,0.129287071292871,0.0709219858156028,0.198581560283688
1999,4,21,21,"Upper Tanana",1796.60433956604,0,3968.59409226739,0.0327967203279672,0,0.0709219858156028
1999,4,22,22,"Border US+Border CA",23985.7634236576,16575.5067108855,31922.5675200446,0.437856214378562,0.340425531914894,0.539007092198582
1999,4,23,23,"Lower Summer  + Koy-Main",,,,,,
1999,5,1,4,"Lower Summer",0,0,0,0,0,0
1999,5,2,7,"UpperKoy+Main",,,,,,
1999,5,3,8,"Tanana Summer",,,,,,
1999,5,4,10,"Tanana Fall",30106.3488348835,22753.8881599017,37314.2228642753,0.375737573757376,0.288770053475936,0.459893048128342
1999,5,5,11,"Border US",,,,,,
1999,5,6,12,"Border CA",,,,,,
1999,5,7,13,"Porcupine CA",,,,,,
1999,5,8,14,"Mainstem CA",,,,,,
1999,5,9,1,"Upper Canada",3918.55325532553,928.238488581999,7054.51154510926,0.0489048904890489,0.0106951871657754,0.0855614973262032
1999,5,10,3,"     White",3918.55325532553,928.238488581999,7054.51154510926,0.0489048904890489,0.0106951871657754,0.0855614973262032
1999,5,11,6,"     Teslin",0,0,0,0,0,0
1999,5,12,2,"Total Summer",0,0,0,0,0,0
1999,5,13,5,"Total Middle",0,0,0,0,0,0
1999,5,14,9,"Total Fall",80126,70794.4499498538,88391.9769036037,1,0.994652406417112,0.994652406417112
1999,5,15,15,"Fall US",,,,,,
1999,5,16,16,"Mainstem + Upper CA",,,,,,
1999,5,17,17,"Border US + Canada",50019.6511651165,41355.3646460454,58446.6289999497,0.624262426242624,0.53475935828877,0.705882352941176
1999,5,18,18,"Total USA",,,,,,
1999,5,19,19,"Total Canada",,,,,,
1999,5,20,20,"Toklat",0,0,0,0,0,0
1999,5,21,21,"Upper Tanana",30106.3488348835,22753.8881599017,37314.2228642753,0.375737573757376,0.288770053475936,0.459893048128342
1999,5,22,22,"Border US+Border CA",46101.097909791,37563.5561188393,54312.3813757168,0.575357535753575,0.491978609625668,0.6524064171123
1999,5,23,23,"Lower Summer  + Koy-Main",,,,,,
1999,100,1,4,"Lower Summer",272690.282242695,250883.522847248,295083.477984583,0.524665712812142,0.49187083081023,0.559718970875807
1999,100,2,7,"UpperKoy+Main",,,,,,
1999,100,3,8,"Tanana Summer",,,,,,
1999,100,4,10,"Tanana Fall",75398.1201809897,61591.0296412098,88932.1446845662,0.14506864030544,0.118990375263257,0.170990861588358
1999,100,5,11,"Border US",,,,,,
1999,100,6,12,"Border CA",,,,,,
1999,100,7,13,"Porcupine CA",,,,,,
1999,100,8,14,"Mainstem CA",,,,,,
1999,100,9,1,"Upper Canada",9601.13186421464,5116.66533837248,14474.5960797483,0.0184729160566795,0.00991798939845519,0.027706409984486
1999,100,10,3,"     White",9595.65441195987,5111.92220340592,14470.5196533002,0.0184623772455124,0.00990160610274917,0.0276834104583644
1999,100,11,6,"     Teslin",5.47745225477452,0,0,0.0000105388111670515,0,0
1999,100,12,2,"Total Summer",299712.886899125,277436.041762051,322713.534249636,0.57665815646471,0.545237316441742,0.609937108219564
1999,100,13,5,"Total Middle",27022.6046564293,18526.4215239627,36440.7170371319,0.051992443652568,0.0358476696206468,0.0694782991575782
1999,100,14,9,"Total Fall",220028.113100875,199960.968716616,238616.769098244,0.42334184353529,0.390062891780436,0.454762683558258
1999,100,15,15,"Fall US",,,,,,
1999,100,16,16,"Mainstem + Upper CA",,,,,,
