"Year","Strata","SortID","grpID","GroupName","mean","LCI.m","UCI.m","p","LCI.p","UCI.p"
2000,1,1,4,"Lower Summer",63272.3469653035,53929.6688478852,72580.7581664841,0.83011698830117,0.77,0.89
2000,1,2,7,"UppKoy+Main",,,,,,
2000,1,3,8,"Tanana Summer",,,,,,
2000,1,4,10,"Tanana Fall",1813.87841215878,0,3916.98895238952,0.0237976202379762,0,0.05
2000,1,5,11,"Border US",,,,,,
2000,1,6,12,"Border CA",,,,,,
2000,1,7,13,"Porcupine CA",,,,,,
2000,1,8,14,"Mainstem CA",,,,,,
2000,1,9,1,"Upper Canada",0,0,0,0,0,0
2000,1,10,3,"     White",0,0,0,0,0,0
2000,1,11,6,"     Teslin",0,0,0,0,0,0
2000,1,12,2,"Total Summer",64247.8782121788,54818.2020912828,73551.6270826606,0.842915708429157,0.78,0.9
2000,1,13,5,"Total Middle",975.531246875313,0,2458.49604047027,0.0127987201279872,0,0.03
2000,1,14,9,"Total Fall",11973.1217878212,7351.53583441722,16999.4226225659,0.157084291570843,0.1,0.22
2000,1,15,15,"Fall US",,,,,,
2000,1,16,16,"CA Upper + Mainstem",,,,,,
2000,1,17,17,"US Border + Canada",10159.2433756624,5908.34822103436,14794.3191182107,0.133286671332867,0.08,0.19
2000,1,18,18,"Total USA",,,,,,
2000,1,19,19,"Total Canada",,,,,,
2000,1,20,20,"Toklat",1813.87841215878,0,3916.98895238952,0.0237976202379762,0,0.05
2000,1,21,21,"Upper Tanana",0,0,0,0,0,0
2000,1,22,22,"Border US+Border CA",10159.2433756624,5908.34822103436,14794.3191182107,0.133286671332867,0.08,0.19
2000,1,23,23,"Lower Summer  + Koy-Main",,,,,,
2000,2,1,4,"Lower Summer",28577.8865419433,21327.4147799015,36000.1548247445,0.593542546771273,0.502923976608187,0.678362573099415
2000,2,2,7,"UppKoy+Main",,,,,,
2000,2,3,8,"Tanana Summer",,,,,,
2000,2,4,10,"Tanana Fall",0,0,0,0,0,0
2000,2,5,11,"Border US",,,,,,
2000,2,6,12,"Border CA",,,,,,
2000,2,7,13,"Porcupine CA",,,,,,
2000,2,8,14,"Mainstem CA",,,,,,
2000,2,9,1,"Upper Canada",532.717763025548,0,1598.95325312867,0.0110641721987528,0,0.0350877192982456
2000,2,10,3,"     White",532.717763025548,0,1598.95325312867,0.0110641721987528,0,0.0350877192982456
2000,2,11,6,"     Teslin",0,0,0,0,0,0
2000,2,12,2,"Total Summer",35885.8056729028,27353.0747673149,44290.3021720432,0.745322872661436,0.666666666666667,0.818713450292398
2000,2,13,5,"Total Middle",7307.91913095957,4067.41011888032,10943.4437093765,0.151780325890163,0.0935672514619883,0.210526315789474
2000,2,14,9,"Total Fall",12262.1943270972,7976.28482835299,17042.9060986015,0.254677127338564,0.175438596491228,0.327485380116959
2000,2,15,15,"Fall US",,,,,,
2000,2,16,16,"CA Upper + Mainstem",,,,,,
2000,2,17,17,"US Border + Canada",12262.1943270972,7976.28482835299,17042.9060986015,0.254677127338564,0.175438596491228,0.327485380116959
2000,2,18,18,"Total USA",,,,,,
2000,2,19,19,"Total Canada",,,,,,
2000,2,20,20,"Toklat",0,0,0,0,0,0
2000,2,21,21,"Upper Tanana",0,0,0,0,0,0
2000,2,22,22,"Border US+Border CA",11729.4765640716,7511.15481134342,16420.821498853,0.243612955139811,0.16374269005848,0.315789473684211
2000,2,23,23,"Lower Summer  + Koy-Main",,,,,,
2000,3,1,4,"Lower Summer",4944.1968,2758.57701263678,7578.4784070741,0.1737,0.101449275362319,0.246376811594203
2000,3,2,7,"UppKoy+Main",,,,,,
2000,3,3,8,"Tanana Summer",,,,,,
2000,3,4,10,"Tanana Fall",28.464,0,382.221727003601,0.001,0,0.0144927536231884
2000,3,5,11,"Border US",,,,,,
2000,3,6,12,"Border CA",,,,,,
2000,3,7,13,"Porcupine CA",,,,,,
2000,3,8,14,"Mainstem CA",,,,,,
2000,3,9,1,"Upper Canada",2328.3552,839.413500019103,4110.4447181207,0.0818,0.0289855072463768,0.144927536231884
2000,3,10,3,"     White",2328.3552,839.413500019103,4110.4447181207,0.0818,0.0289855072463768,0.144927536231884
2000,3,11,6,"     Teslin",0,0,0,0,0,0
2000,3,12,2,"Total Summer",8024.0016,5119.50836344737,11441.0378106692,0.2819,0.188405797101449,0.376811594202899
2000,3,13,5,"Total Middle",3079.8048,1350.93662432166,5177.44835719278,0.1082,0.0572463768115924,0.173913043478261
2000,3,14,9,"Total Fall",20439.9984,15188.7741683027,25873.5483714833,0.7181,0.623188405797101,0.811594202898551
2000,3,15,15,"Fall US",,,,,,
2000,3,16,16,"CA Upper + Mainstem",,,,,,
2000,3,17,17,"US Border + Canada",20411.5344,15154.7565161829,25819.9193081227,0.7171,0.623188405797101,0.797101449275362
2000,3,18,18,"Total USA",,,,,,
2000,3,19,19,"Total Canada",,,,,,
2000,3,20,20,"Toklat",28.464,0,382.221727003601,0.001,0,0.0144927536231884
2000,3,21,21,"Upper Tanana",0,0,0,0,0,0
2000,3,22,22,"Border US+Border CA",18083.1792,13330.144960778,23201.7575117452,0.6353,0.536231884057971,0.72463768115942
2000,3,23,23,"Lower Summer  + Koy-Main",,,,,,
2000,4,1,4,"Lower Summer",6381.06219378062,2826.72106318516,10412.6453840107,0.0768923107689231,0.0309278350515464,0.123711340206186
2000,4,2,7,"UppKoy+Main",,,,,,
2000,4,3,8,"Tanana Summer",,,,,,
2000,4,4,10,"Tanana Fall",0,0,0,0,0,0
2000,4,5,11,"Border US",,,,,,
2000,4,6,12,"Border CA",,,,,,
2000,4,7,13,"Porcupine CA",,,,,,
2000,4,8,14,"Mainstem CA",,,,,,
2000,4,9,1,"Upper Canada",21740.4199580042,15217.9107716356,28814.5940365557,0.261973802619738,0.185567010309278,0.34020618556701
2000,4,10,3,"     White",20072.5480451955,13858.4950052165,26901.4222873589,0.241875812418758,0.175257731958763,0.319587628865979
2000,4,11,6,"     Teslin",1667.87191280872,0,3812.50514492036,0.0200979902009799,0,0.0412371134020619
2000,4,12,2,"Total Summer",6381.06219378062,2826.72106318516,10412.6453840107,0.0768923107689231,0.0309278350515464,0.123711340206186
2000,4,13,5,"Total Middle",0,0,0,0,0,0
2000,4,14,9,"Total Fall",76605.9378062194,66028.3348555279,87417.0574182709,0.923107689231077,0.876288659793814,0.969072164948453
2000,4,15,15,"Fall US",,,,,,
2000,4,16,16,"CA Upper + Mainstem",,,,,,
2000,4,17,17,"US Border + Canada",76605.9378062194,66028.3348555279,87417.0574182709,0.923107689231077,0.876288659793814,0.969072164948453
2000,4,18,18,"Total USA",,,,,,
2000,4,19,19,"Total Canada",,,,,,
2000,4,20,20,"Toklat",0,0,0,0,0,0
2000,4,21,21,"Upper Tanana",0,0,0,0,0,0
2000,4,22,22,"Border US+Border CA",54865.5178482152,45368.1405255882,65050.9707252364,0.661133886611339,0.577319587628866,0.742268041237113
2000,4,23,23,"Lower Summer  + Koy-Main",,,,,,
2000,100,1,4,"Lower Summer",103175.492501027,90264.9711657665,115719.891267794,0.437517990420776,0.396242770200064,0.478735144915957
2000,100,2,7,"UppKoy+Main",,,,,,
2000,100,3,8,"Tanana Summer",,,,,,
2000,100,4,10,"Tanana Fall",1842.34241215878,0,3943.73619563296,0.00781249432685431,0,0.0167168386459205
2000,100,5,11,"Border US",,,,,,
2000,100,6,12,"Border CA",,,,,,
2000,100,7,13,"Porcupine CA",,,,,,
2000,100,8,14,"Mainstem CA",,,,,,
2000,100,9,1,"Upper Canada",24601.4929210297,17824.633137854,31899.6596204244,0.104323182601263,0.076610375105721,0.134286173547593
2000,100,10,3,"     White",22933.621008221,16429.2634984666,30114.8420804424,0.0972505343406879,0.0703469279445011,0.126474401732311
2000,100,11,6,"     Teslin",1667.87191280872,0,3812.50514492036,0.00707264826057467,0,0.0161887632938588
2000,100,12,2,"Total Summer",114538.747678862,101035.157513833,127870.173992092,0.485704128907057,0.443726364522319,0.527404916635671
2000,100,13,5,"Total Middle",11363.2551778349,7328.94365386664,15704.4823440634,0.0481861384862814,0.0316704736814032,0.0657361860582053
2000,100,14,9,"Total Fall",121281.252321138,107596.22426494,135174.675835907,0.514295871092943,0.472595083364329,0.556273635477681
2000,100,15,15,"Fall US",,,,,,
2000,100,16,16,"CA Upper + Mainstem",,,,,,
2000,100,17,17,"US Border + Canada",119438.909908979,105872.054299528,133255.335253644,0.506483376766088,0.465184709984913,0.547971763053774
2000,100,18,18,"Total USA",,,,,,
2000,100,19,19,"Total Canada",,,,,,
2000,100,20,20,"Toklat",1842.34241215878,0,3943.73619563296,0.00781249432685431,0,0.0167168386459205
2000,100,21,21,"Upper Tanana",0,0,0,0,0,0
2000,100,22,22,"Border US+Border CA",94837.4169879492,82397.5371309725,107609.248303135,0.402160194164826,0.359612829693615,0.446261593738329
2000,100,23,23,"Lower Summer  + Koy-Main",,,,,,
2000,101,1,4,"Lower Summer",91850.2335072467,79921.8791156858,103587.777334847,0.738529967333071,0.396242770200064,0.478735144915957
2000,101,2,7,"UppKoy+Main",,,,,,
2000,101,3,8,"Tanana Summer",,,,,,
2000,101,4,10,"Tanana Fall",1813.87841215878,0,3916.98895238952,0.0145846506135676,0,0.0167168386459205
2000,101,5,11,"Border US",,,,,,
2000,101,6,12,"Border CA",,,,,,
2000,101,7,13,"Porcupine CA",,,,,,
2000,101,8,14,"Mainstem CA",,,,,,
2000,101,9,1,"Upper Canada",532.717763025548,0,1598.95325312867,0.00428336452834346,0.076610375105721,0.134286173547593
2000,101,10,3,"     White",532.717763025548,0,1598.95325312867,0.00428336452834346,0.0703469279445011,0.126474401732311
2000,101,11,6,"     Teslin",0,0,0,0,0,0.0161887632938588
2000,101,12,2,"Total Summer",100133.683885082,87384.0647164058,112633.685555052,0.805133786434575,0.443726364522319,0.527404916635671
