"Year","Strata","SortID","grpID","GroupName","mean","LCI.m","UCI.m","p","LCI.p","UCI.p"
2022,1,1,4,"Lower Summer",127164.07998,113882.692848828,140893.500040493,0.83034,0.777777777777778,0.881944444444444
2022,1,2,7,"UpperKoy+Main",23897.05788,16200.0986395392,31967.3678988488,0.15604,0.104166666666667,0.208333333333333
2022,1,3,8,"Tanana Summer",696.81885,0,2217.55700633893,0.00455,0,0.0138888888888889
2022,1,4,10,"Tanana Fall",954.10581,0,3068.04888379377,0.00623,0,0.0208333333333333
2022,1,5,11,"Border US",197.55963,0,1104.22362258412,0.00129,0,0.00694444444444444
2022,1,6,12,"Border CA",162.33582,0,1091.5018197215,0.00106,0,0.00694444444444444
2022,1,7,13,"Porcupine CA",49.00704,0,0,0.00032,0,0
2022,1,8,14,"Mainstem CA",113.32878,0,1063.40412700189,0.00074,0,0.00694444444444444
2022,1,9,1,"Upper Canada",75.04203,0,1032.24727207226,0.00049,0,0.00694444444444444
2022,1,10,3,"     White",47.47557,0,0,0.00031,0,0
2022,1,11,6,"     Teslin",27.56646,0,0,0.00018,0,0
2022,1,12,2,"Total Summer",151757.95671,138792.288208909,164799.494133669,0.99093,0.979166666666667,1
2022,1,13,5,"Total Middle",24593.87673,16812.8606575766,32751.7057378321,0.16059,0.111111111111111,0.215277777777778
2022,1,14,9,"Total Fall",1389.04329,0,3437.4514849051,0.00907,0,0.0208333333333333
2022,1,15,15,"Fall US",1151.66544,0,3249.32303877223,0.00752,0,0.0208333333333333
2022,1,16,16,"Mainstem + Upper CA",188.37081,0,1102.50295263654,0.00123,0,0.00694444444444444
2022,1,17,17,"Border US + Canada",434.93748,0,2065.71447673721,0.00284,0,0.0138888888888889
2022,1,18,18,"Total USA",152909.62215,139872.27873264,165986.067172768,0.99845,0.993055555555555,1
2022,1,19,19,"Total Canada",237.37785,0,1120.2890399061,0.00155,0,0.00694444444444444
2022,1,20,20,"Toklat",,,,,,
2022,1,21,21,"Upper Tanana",,,,,,
2022,1,22,22,"Border US+Border CA",,,,,,
2022,1,23,23,"Lower Summer  + Koy-Main",151061.13786,138173.129019429,164068.237756903,0.98638,0.972222222222222,1
2022,2,1,4,"Lower Summer",121240.385752285,107942.100293749,134589.246860858,0.755664886702266,0.694444444444444,0.8125
2022,2,2,7,"UpperKoy+Main",36961.8887222256,27484.7372172998,47023.9096694124,0.23037539249215,0.173611111111111,0.291666666666667
2022,2,3,8,"Tanana Summer",1148.7417451651,0,3363.04287577996,0.00715985680286394,0,0.0208333333333333
2022,2,4,10,"Tanana Fall",720.370172596548,0,2323.05954680832,0.00448991020179596,0,0.0138888888888889
2022,2,5,11,"Border US",139.581748365033,0,1130.55347119301,0.000869982600347993,0,0.00694444444444444
2022,2,6,12,"Border CA",154.021239575209,0,1135.5492115168,0.000959980800383992,0,0.00694444444444444
2022,2,7,13,"Porcupine CA",27.2745945081098,0,0,0.000169996600067999,0,0
2022,2,8,14,"Mainstem CA",126.746645067099,0,1124.34563650077,0.000789984200315994,0,0.00694444444444444
2022,2,9,1,"Upper Canada",77.0106197876043,0,1085.35285927724,0.000479990400191996,0,0.00694444444444444
2022,2,10,3,"     White",51.3404131917362,0,0,0.000319993600127998,0,0
2022,2,11,6,"     Teslin",25.6702065958681,0,0,0.000159996800063999,0,0
2022,2,12,2,"Total Summer",159351.016219676,146602.876810425,171852.77091094,0.99320013599728,0.979166666666667,1
