"group","stbreak","Min","Max","Mean","GroupName","SortID"
"1",2,0.00248320112635985,0.180073284834864,0.0677816295775871,"Upper Canada",9
"1",1,0.0129406700692017,0.123750857208381,0.065926689235683,"Upper Canada",9
"1",7,3.377,26.05,15.2005668072052,"Upper Canada",9
"1",8,4.89537977350168,20.4585345520079,13.9630296111838,"Upper Canada",9
"1",4,0.049,4.60138041412424,0.773894259437333,"Upper Canada",9
"1",6,2.956,26.1973802619738,12.872529148178,"Upper Canada",9
"1",5,0.2997002997003,17.2381723817238,4.96101367115458,"Upper Canada",9
"1",3,0.0193487962626792,1.40231687737733,0.241819439598657,"Upper Canada",9
"1",9,2.5350253502535,18.0978487050306,11.1821856079045,"Upper Canada",9
"10",9,39.8166185024903,73.7957379573796,56.8971586257867,"Tanana Fall",4
"10",5,0.0748481422072629,24.1466915149223,4.05495333315752,"Tanana Fall",4
"10",1,0.100132251507734,0.671940839556604,0.246114918391848,"Tanana Fall",4
"10",3,0.100030009002701,8.22719441688369,0.86990556582212,"Tanana Fall",4
"10",7,12.374706105846,43.762,23.5615001559082,"Tanana Fall",4
"10",4,0.00559847928111927,15.4517533330662,1.63512656921127,"Tanana Fall",4
"10",6,0.6,41.179072309021,12.3847938935787,"Tanana Fall",4
"10",2,0.100108320475757,5.25305586422871,0.710906333434838,"Tanana Fall",4
"10",8,19.0341016101528,62.3971769475731,37.954604061112,"Tanana Fall",4
"11",1,0.100132251507734,0.501002004008016,0.194900760220162,"Border US",5
"11",6,12.1696990602453,53.27,33.1754705610856,"Border US",5
"11",3,0.0869982600347993,2.5559744402556,0.645643723369932,"Border US",5
"11",2,0.0899991000089999,1.382,0.330667723831694,"Border US",5
"11",4,0.153,24.4673402020606,3.74062836155832,"Border US",5
"11",5,7.19215764729419,47.9294792947929,23.2786066199205,"Border US",5
"11",7,20.548559314134,49.5135863190985,34.0510840772604,"Border US",5
"11",9,10.7236861512947,33.4300290087026,16.6673809854409,"Border US",5
"11",8,17.3729573549688,37.672594536329,28.1774506360079,"Border US",5
"12",9,2.1009789902101,19.8025749893266,10.8068777747942,"Border CA",6
"12",6,5.1340694040983,24.2997198879552,15.8026910603404,"Border CA",6
"12",5,2.326,19.9575663286779,7.78155121795599,"Border CA",6
"12",7,5.316,25.2712383417613,17.7406169108447,"Border CA",6
"12",1,0.100200400801603,0.258258386734688,0.161569086155477,"Border CA",6
"12",4,0.11,9.55286585975793,2.29804708824143,"Border CA",6
"12",2,0.104956469448214,0.349678593194527,0.200418460950899,"Border CA",6
"12",8,3.45528215826122,26.1327126911759,14.2370263941791,"Border CA",6
"12",3,0.0959980800383992,1.0910109101091,0.321262356180914,"Border CA",6
"13",4,0.018,8.9926978093428,1.00213559417062,"Porcupine CA",7
"13",5,0.2,13.8606701023595,3.88558093924511,"Porcupine CA",7
"13",3,0.0169996600067999,0.157504544202892,0.0669782185821411,"Porcupine CA",7
"13",9,0.0649993500064999,10.2530759227768,1.82670914321909,"Porcupine CA",7
"13",1,0.0129406700692017,0.13,0.0399109999432251,"Porcupine CA",7
"13",2,0.0225955502353629,0.13,0.0507045077048978,"Porcupine CA",7
"13",7,0.212414464023089,6.50656183003933,2.53071256998472,"Porcupine CA",7
"13",6,0.235,15.1,3.9182337070648,"Porcupine CA",7
"13",8,0.0727470113717342,14.0569771784573,2.78657469522225,"Porcupine CA",7
"14",3,0.0789984200315994,0.943009430094301,0.258005149742225,"Mainstem CA",8
"14",4,0.092,6.08264170749706,1.29591149407081,"Mainstem CA",8
"14",9,1.9269807301927,19.1248087519125,8.98016863157514,"Mainstem CA",8
"14",5,0.5,13.1731265134109,3.89597027871088,"Mainstem CA",8
"14",7,3.31204556979459,22.3713834675121,15.20990434086,"Mainstem CA",8
"14",1,0.068,0.258258386734688,0.129640286200897,"Mainstem CA",8
"14",6,3.09909196561155,22.518,11.8844573532756,"Mainstem CA",8
"14",2,0.068,0.315518932276302,0.156474554273321,"Mainstem CA",8
"14",8,0.908204189207934,19.7921063844255,11.4504516989569,"Mainstem CA",8
"15",2,0.2629973700263,3.138,0.738764088546941,"Fall US",15
"15",3,0.202,2.8389716102839,1.02293010535666,"Fall US",15
"15",6,14.3849720860258,77.3997844861427,44.0945194028601,"Fall US",15
"15",4,0.39,24.9674902470741,4.42700230527827,"Fall US",15
"15",7,32.9232654199799,81.69,57.5655236556394,"Fall US",15
"15",9,59.0926420484762,85.3868538685387,73.5645396112276,"Fall US",15
"15",5,8.11243373011903,52.6665266652666,26.0285911213743,"Fall US",15
"15",8,50.3901054633879,80.1825139960252,66.1320546971198,"Fall US",15
"15",1,0.200264503015467,0.786420933668868,0.44101567861201,"Fall US",15
"16",6,7.97739813142812,39.276,23.4296563968978,"CA Upper + Mainstem",16
"16",4,0.141,8.88736975382099,1.96588207692585,"CA Upper + Mainstem",16
"16",5,2.072,22.0952209522095,8.35104168967207,"CA Upper + Mainstem",16
"16",3,0.126997460050799,1.0440104401044,0.361521060423118,"CA Upper + Mainstem",16
"16",2,0.100108320475757,0.3803838693615,0.215218633240563,"CA Upper + Mainstem",16
"16",9,8.74608746087461,32.9286707132929,20.1623542394796,"CA Upper + Mainstem",16
"16",7,8.36,39.2031480141683,29.3643425360723,"CA Upper + Mainstem",16
"16",8,8.27791492039116,39.6160048849749,25.4134813101406,"CA Upper + Mainstem",16
"16",1,0.100200400801603,0.358064967185979,0.186776750205155,"CA Upper + Mainstem",16
"17",3,0.230995380092398,13.3286671332867,1.79606649286695,"US Border + Canada",17
